source_key,source_name,source_url,source_row_number,school_name_raw,school_name_clean,school_source_url,state,degree_type,average_gpa_raw,average_gpa,average_mcat_raw,average_mcat,minimum_mcat_raw,minimum_mcat,notes
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,107,USF Health Morsani College of Medicine,USF Health Morsani College of Medicine,,,,3.96,3.96,520,520,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,108,Virginia Commonwealth University School of Medicine,Virginia Commonwealth University School of Medicine,,,,3.79,3.79,512,512,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,109,Virginia Tech Carilion School of Medicine,Virginia Tech Carilion School of Medicine,,,,3.67,3.67,512,512,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,110,Wake Forest School of Medicine of Wake Forest Baptist Medical Center,Wake Forest School of Medicine of Wake Forest Baptist Medical Center,,,,3.83,3.83,511,511,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,111,Washington State University Elson S. Floyd College of Medicine,Washington State University Elson S. Floyd College of Medicine,,,,3.64,3.64,507.9,507.9,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,112,Washington University in St. Louis School of Medicine,Washington University in St. Louis School of Medicine,,,,3.92,3.92,519.19,519.19,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,113,Wayne State University School of Medicine,Wayne State University School of Medicine,,,,3.78,3.78,,,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,114,West Virginia University School of Medicine,West Virginia University School of Medicine,,,,3.8,3.8,511,511,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,115,Western Michigan University Homer Stryker M.D. School of Medicine,Western Michigan University Homer Stryker M.D. School of Medicine,,,,3.81,3.81,512,512,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,116,Wright State University Boonshoft School of Medicine,Wright State University Boonshoft School of Medicine,,,,3.68,3.68,508.76,508.76,,,
matchguy,The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/,117,Yale School of Medicine,Yale School of Medicine,,,,3.94,3.94,521,521,,,
