school_id,school_name,degree_type,state_abbrev,school_website,candidate_source_url,candidate_source_title,candidate_source_type,source_status,official_domain_status,official_domain_score,official_match_reason,discovery_method,search_query,discovered_at,last_checked,fetch_status,review_status,notes
do_nyitcom_new_york_institute_of_technology_college_of_osteopathic_medicine_old_wes,New York Institute of Technology College of Osteopathic Medicine,DO,NY,https://www.nyit.edu/medicine,https://www.nyit.edu/medicine,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""NYITCOM"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_nyitcom_jonesboro_new_york_institute_of_technology_college_of_osteopathic_medici,New York Institute of Technology College of Osteopathic Medicine at Arkansas State,DO,AR,https://www.nyit.edu/arkansas,https://www.nyit.edu/arkansas,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""NYITCOM-Jonesboro"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_noordacom_noorda_college_of_osteopathic_medicine_provo_utah,Noorda College of Osteopathic Medicine,DO,UT,https://noordacom.org/,https://noordacom.org/,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""NoordaCOM"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_nsu_kpcom_clearwater_nova_southeastern_university_dr_kiran_c_patel_college_of_os,Nova Southeastern University – Dr. Kiran C. Patel College of Osteopathic Medicine,DO,FL,https://osteopathic.nova.edu/,https://osteopathic.nova.edu/,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""NSU-KPCOM-Clearwater"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_nsu_kpcom_nova_southeastern_university_dr_kiran_c_patel_college_of_osteopathic_m,Nova Southeastern University – Dr. Kiran C. Patel College of Osteopathic Medicine,DO,FL,https://osteopathic.nova.edu/,https://osteopathic.nova.edu/,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""NSU-KPCOM"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_ou_hcom_ohio_university_heritage_college_of_osteopathic_medicine_athens_ohio,Ohio University Heritage College of Osteopathic Medicine,DO,OH,https://www.ohio.edu/medicine/,https://www.ohio.edu/medicine/,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""OU-HCOM"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_ou_hcom_cleveland_ohio_university_heritage_college_of_osteopathic_medicine_cleve,Ohio University Heritage College of Osteopathic Medicine,DO,OH,https://www.ohio.edu/medicine/about/campuses/cleveland/index.cfm,https://www.ohio.edu/medicine/about/campuses/cleveland/index.cfm,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""OU-HCOM-Cleveland"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_ou_hcom_dublin_ohio_university_heritage_college_of_osteopathic_medicine_dublin_d,Ohio University Heritage College of Osteopathic Medicine – Dublin,DO,OH,https://www.ohio.edu/medicine/about/campuses/dublin/index.cfm,https://www.ohio.edu/medicine/about/campuses/dublin/index.cfm,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""OU-HCOM-Dublin"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_osu_com_oklahoma_state_university_center_for_health_sciences_college_of_osteopat,Oklahoma State University Center for Health Sciences College of Osteopathic Medicine,DO,OK,https://health.okstate.edu/,https://health.okstate.edu/,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""OSU-COM"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
do_ocom_orlando_college_of_osteopathic_medicine_celebration_florida,Orlando College of Osteopathic Medicine,DO,FL,https://ocom.org/,https://ocom.org/,School website from school_master,unknown,domain_seed,official_school_domain,1.00,Candidate host exactly matches school website host,school_master_website,"""OCOM"" entering class profile MCAT GPA matriculants",2026-06-08,2026-06-08,fetch_skipped_needs_stats_path,official_domain_seed_needs_stats_path,
