source_key,source_name,source_url,pdf_file,source_row_number,stream_index,row_y,state,school_name_raw,school_name_clean,coursework_upward_transfer,coursework_accelerated,coursework_supplemental,coursework_additional_info,notes
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,24,90,115.146,CT,Yale School of Medicine,Yale School of Medicine,U.S. Community College courses are acceptable.,,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,25,90,87.786,DC,George Washington University School of Medicine & Health Sciences,George Washington University School of Medicine & Health Sciences,"The Committee on Admissions does accept coursework taken at a community college. However, it is preferable to have all of the premedical coursework taken at an accredited four-year college or university.",,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,26,90,51.818,DC,Georgetown University School of Medicine,Georgetown University School of Medicine,"GUSOM accepts prerequisites completed at the community college level. In order to be competitive in the selection process, we encourage prospective applicants with community college prerequisites to supplement these courses by taking advanced courses in related subjects at their four year institution.",,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,27,170,472.364,DC,Howard University College of Medicine,Howard University College of Medicine,The College of Medicine will accept regionally accredited community college course credits.,,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,28,170,445.004,FL,Charles E. Schmidt College of Medicine at Florida Atlantic University,Charles E. Schmidt College of Medicine at Florida Atlantic University,Community College coursework is accepted as long as the applicant has performed well and shows an upward trend.,,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,29,170,417.644,FL,Florida International University Herbert Wertheim College of Medicine,Florida International University Herbert Wertheim College of Medicine,"Lower division pre-requisite courses can be taken at community colleges. However, additional upper level science courses are encouraged in preparation for the MCAT and success in medical school.",,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,30,170,390.284,FL,Florida State University College of Medicine,Florida State University College of Medicine,"While coursework completed at a community college is generally accepted, the Admissions Committee prefers that pre-requisite courses and rigorous, upper-level science be completed at a four-year institution.",,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,31,170,362.924,FL,Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,Community College coursework accepted.,,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,32,170,335.564,FL,University of Central Florida College of Medicine,University of Central Florida College of Medicine,The UCF College of Medicine has no policy prohibiting applicants from taking courses online or at a community college.,,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,33,170,299.595,FL,University of Florida College of Medicine,University of Florida College of Medicine,"We accept lower division prerequisites taken at community colleges. Biochemistry must be completed at a four year college or university and must be an upper division version of the subject, and approved to count towards a premedical or science major curriculum at the institution where taken.",,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,34,170,272.235,FL,University of Miami Leonard M. Miller School of Medicine,University of Miami Leonard M. Miller School of Medicine,Coursework that is verified and folded into the AMCAS GPA calculation will be considered in the review of each applicant.,,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,35,170,244.875,FL,USF Health Morsani College of Medicine,USF Health Morsani College of Medicine,USF MCOM views all college coursework taken equally.,,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,36,170,217.515,GA,Emory University School of Medicine,Emory University School of Medicine,Emory School of Medicine will accept coursework completed at a community college.,,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,37,170,190.155,GA,Medical College of Georgia at Augusta University,Medical College of Georgia at Augusta University,Please review all pre-requisite coursework information on the MCG website: https://www.augusta.edu/mcg/admissions/application-procedures.php.,,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,38,170,162.795,GA,Mercer University School of Medicine,Mercer University School of Medicine,We accept community college credits that meet our admissions criteria. For more information visit: https://medicine.mercer.edu/admissions/doctor-of-medicine/admissions-process/,,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,39,170,126.827,GA,Morehouse School of Medicine,Morehouse School of Medicine,"Morehouse School of Medicine conducts a holistic review of applications, taking into consideration an applicant's overall body of coursework, including community college coursework, GPA, extra curricular activities, and performance on the MCAT.",,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,40,170,69.547,GA,University of Georgia School of Medicine,University of Georgia School of Medicine,"Community college course credit is accepted. All prerequisite coursework must be completed at a regionally accredited institution in the United States or Canada. International coursework (defined below), including credits earned at foreign institutions, will not be accepted to fulfill prerequisite requirements and will not be included in AMCAS GPA calculations unless accepted as transfer credit and appearing on an official transcript from a U.S. or Canadian institution.",,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,41,256,472.364,HI,"University of Hawaii, John A. Burns School of Medicine","University of Hawaii, John A. Burns School of Medicine",Community college coursework from an accredited US or Canadian school may be used to meet JABSOM ’ s prerequisite requirements. Review is required.,,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,42,256,445.004,IA,University of Iowa Roy J. and Lucille A. Carver College of Medicine,University of Iowa Roy J. and Lucille A. Carver College of Medicine,Coursework taken at community colleges is acceptable for introductory/prerequisite coursework. Our admissions committee generally prefers upper level science courses taken at a university level.,,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,43,256,417.644,IL,Carle Illinois College of Medicine,Carle Illinois College of Medicine,All applicants are required to have earned a degree at the Bachelor ’ s level or higher from a U.S. or Canadian accredited college or university prior to matriculation in the MD Program.,,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,44,256,386.644,IL,Chicago Medical School at Rosalind Franklin University of Medicine & Science,Chicago Medical School at Rosalind Franklin University of Medicine & Science,Chicago Medical School accepts coursework with grades of C or higher from any US accredited community college.,,,,
aamc_msar_community_college_coursework,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/14_msar024-msar-community-college-coursework-information.pdf,45,256,359.284,IL,Loyola University Chicago Stritch School of Medicine,Loyola University Chicago Stritch School of Medicine,"Although the committee considers community college credits within the academic review, these credits cannot be used to fulfill required pre-requisite coursework.",,,,
