school_id,school_name,degree_type,candidate_source_url,candidate_source_title,candidate_source_type,source_host,official_domain_status,official_domain_score,fetch_status,extraction_status,stats_cohort_year,metric_population,metric_type,mcat_value,mcat_metric,gpa_value,gpa_metric,science_gpa_value,evidence_text,source_publication_date,source_last_checked,data_confidence,review_status,notes
md_creighton_university_school_of_medicine_omaha_nebraska,Creighton University School of Medicine,MD,https://medschool.creighton.edu/program/Medicine-MD,Creighton University School of Medicine,admissions_page,medschool.creighton.edu,official_school_domain,1.00,fetch_skipped_needs_stats_path,fetch_skipped_needs_stats_path,,,,,,,,,,,2026-06-09,,needs_review,"Official domain seed needs a class profile, annual report, fact book, or admissions statistics path before fetching."
md_creighton_university_school_of_medicine_omaha_nebraska,Creighton University School of Medicine,MD,https://www.creighton.edu/medicine/programs/medicine-md/class-profile,MD Class Profile,class_profile,creighton.edu,official_school_domain,1.00,fetched,accepted,2029,official published school profile,official_published_mean,513,average,3.86,average,,n medicine. The average age is 23 and 21 students are 26 and older. The class is 43% male and 57% female. Image 34 first generation students 24 languages spoken 13 birth countries 513 average MCAT Academic Majors & GPAs Students in the class of 2029 studied in 46 different undergraduate areas at 94 different undergraduate universities and finished with a cumulative GPA of 3 es 513 average MCAT Academic Majors & GPAs Students in the class of 2029 studied in 46 different undergraduate areas at 94 different undergraduate universities and finished with a cumulative GPA of 3.86. 19 students already have an advanced degree. Top Undergraduate Majors Biology: 68 Neuroscience: 29 Molecular Biology: 2,,2026-06-09,md_official_public_source,approved_official_extraction,Official-domain MCAT/GPA values found in class-profile context. Selected latest shared cohort year 2029.
md_dell_medical_school_university_of_texas_at_austin_austin_texas,Dell Medical School – University of Texas at Austin,MD,https://dellmed.utexas.edu/education/how-to-apply/admissions-criteria,Admissions Criteria,annual_report,dellmed.utexas.edu,official_school_domain,1.00,fetched,accepted,2029,official published school profile,official_published_mean,517,average,3.93,average,,eans is invited to petition the admissions team by email. Class Metrics Class of 2029 by the numbers: 50 students per class 98% Texas residents* Average GPA: 3.93 Age range: 21-26 Average MCAT score: 517 Match rate: 100% *State Law requires that at least 90% of Dell Med students be Texas residents Technical Standards and Essential Functions Dell Med has a responsibility to current een established by some alternate means is invited to petition the admissions team by email. Class Metrics Class of 2029 by the numbers: 50 students per class 98% Texas residents* Average GPA: 3.93 Age range: 21-26 Average MCAT score: 517 Match rate: 100% *State Law requires that at least 90% of Dell Med students b,,2026-06-09,md_official_public_source,approved_official_extraction,Official-domain MCAT/GPA values found in class-profile context. Selected latest shared cohort year 2029. Fetched reviewed assisted-search official URL even though the path is not stats-shaped.
md_dell_medical_school_university_of_texas_at_austin_austin_texas,Dell Medical School – University of Texas at Austin,MD,https://dellmed.utexas.edu/prospective-students,University of Texas at Austin Dell Medical School,unknown,dellmed.utexas.edu,official_school_domain,1.00,fetch_skipped_needs_stats_path,fetch_skipped_needs_stats_path,,,,,,,,,,,2026-06-09,,needs_review,"Official domain seed needs a class profile, annual report, fact book, or admissions statistics path before fetching."
md_donald_and_barbara_zucker_school_of_medicine_at_hofstra_northwell_hempstead_new_,Donald and Barbara Zucker School of Medicine at Hofstra/Northwell,MD,https://medicine.hofstra.edu/about,About | Zucker School of Medicine,annual_report,medicine.hofstra.edu,official_school_domain,1.00,fetched,accepted,,official published school profile,official_published_median,518,median,3.86,median,,"D: Dual Bachelor of Arts or Bachelor of Science/Doctor of Medicine STUDENTS 100 per class Students:100 per class Annual MD Applicants: Approximately 5,000 Median Overall GPA: 3.86 Median MCAT: 518 FACULTY 4000+ 25 Academic Departments HISTORICAL TIMELINE CURRICULUM HIGHLIGHTS The innovative curriculum at the Zucker School of Medicine fosters a learning environment that valu stra 4+4 Program: BS-BA/MD: Dual Bachelor of Arts or Bachelor of Science/Doctor of Medicine STUDENTS 100 per class Students:100 per class Annual MD Applicants: Approximately 5,000 Median Overall GPA: 3.86 Median MCAT: 518 FACULTY 4000+ 25 Academic Departments HISTORICAL TIMELINE CURRICULUM HIGHLIGHTS The innovative curric",,2026-06-09,md_official_public_source,approved_official_extraction,Official-domain MCAT/GPA values found in class-profile context. Fetched reviewed assisted-search official URL even though the path is not stats-shaped.
md_drexel_university_college_of_medicine_philadelphia_pennsylvania,Drexel University College of Medicine,MD,http://drexel.edu/medicine/academics/md-program/md-program-admissions/,Drexel University College of Medicine,admissions_page,drexel.edu,official_school_domain,1.00,fetch_skipped_needs_stats_path,fetch_skipped_needs_stats_path,,,,,,,,,,,2026-06-09,,needs_review,"Official domain seed needs a class profile, annual report, fact book, or admissions statistics path before fetching."
md_duke_university_school_of_medicine_durham_north_carolina,Duke University School of Medicine,MD,https://medschool.duke.edu/about-us/facts-figures,Facts & Figures | Duke University School of Medicine,annual_report,medschool.duke.edu,official_school_domain,1.00,fetched,no_relevant_stats_found,,official published school profile,official_published_value,,,,,,,,2026-06-08,,needs_review,No class-profile MCAT/GPA values found.
md_duke_university_school_of_medicine_durham_north_carolina,Duke University School of Medicine,MD,https://medschool.duke.edu/education/health-professions-education-programs/doctor-medicine-md-program/admissions/admissions-5,2025 MD Admissions Statistics | Duke University School of Medicine,class_profile,medschool.duke.edu,official_school_domain,1.00,fetched,no_relevant_stats_found,2025,official published school profile,official_published_value,,,,,,,,2026-06-08,,needs_review,No class-profile MCAT/GPA values found.
md_duke_university_school_of_medicine_durham_north_carolina,Duke University School of Medicine,MD,https://medschool.duke.edu/education/student-services/office-admissions,Duke University School of Medicine,admissions_page,medschool.duke.edu,official_school_domain,1.00,fetch_skipped_needs_stats_path,fetch_skipped_needs_stats_path,,,,,,,,,,,2026-06-09,,needs_review,"Official domain seed needs a class profile, annual report, fact book, or admissions statistics path before fetching."
md_duke_university_school_of_medicine_durham_north_carolina,Duke University School of Medicine,MD,https://medschool.duke.edu/newsroom/magazines-and-annual-reports,Magazines and Annual Reports | Duke University School of Medicine,annual_report,medschool.duke.edu,official_school_domain,1.00,fetched,no_relevant_stats_found,,official published school profile,official_published_value,,,,,,,,2026-06-08,,needs_review,No class-profile MCAT/GPA values found.
