source_key,source_name,source_url,source_row_number,school_name_raw,school_name_clean,school_source_url,state,degree_type,average_gpa_raw,average_gpa,average_mcat_raw,average_mcat,minimum_mcat_raw,minimum_mcat,notes
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,49,Mercer University School of Medicine,Mercer University School of Medicine,,GA,MD,3.69,3.69,503,503,493-494,493,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,50,Morehouse School of Medicine,Morehouse School of Medicine,,GA,MD,3.64,3.64,504.1,504.1,NR,,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,51,Georgia Campus Philadelphia College of Osteopathic Medicine,Georgia Campus Philadelphia College of Osteopathic Medicine,,GA,DO,NR,,503,503,NR,,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,52,University of Hawaii John A. Burns School of Medicine*,University of Hawaii John A. Burns School of Medicine,,HI,MD,3.79,3.79,512,512,NR,,source row carried an asterisk
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,53,University of Iowa Carver College of Medicine*,University of Iowa Carver College of Medicine,,IA,MD,3.81,3.81,514,514,NR,,source row carried an asterisk
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,54,Des Moines University College of Osteopathic Medicine,Des Moines University College of Osteopathic Medicine,,IA,DO,3.71,3.71,507,507,NR,,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,55,Idaho College of Osteopathic Medicine,Idaho College of Osteopathic Medicine,,ID,DO,3.56,3.56,503.65,503.65,501,501,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,56,Carle Illinois College of Medicine*,Carle Illinois College of Medicine,,IL,MD,3.73,3.73,513,513,498,498,source row carried an asterisk
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,57,Chicago Medical School at Rosalind Franklin University of Medicine and Science,Chicago Medical School at Rosalind Franklin University of Medicine and Science,,IL,MD,3.69,3.69,508,508,510 The school notes most successful applicants have a 510 or above.,510,
shemmassian,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,58,Loyola University of Chicago Stritch School of Medicine,Loyola University of Chicago Stritch School of Medicine,,IL,MD,3.8,3.8,512,512,NR,,
