source_key,source_name,source_url,source_row_number,school_name_raw,school_name_clean,school_source_url,state,degree_type,average_gpa_raw,average_gpa,average_mcat_raw,average_mcat,minimum_mcat_raw,minimum_mcat,notes
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,39,University of Miami Miller School of Medicine,University of Miami Miller School of Medicine,http://admissions.med.miami.edu/md-programs/general-md/,Florida,,3.78,3.78,MCAT - 514,514,MCAT - 514,514,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,40,University of South Florida Health Morsani College of Medicine,University of South Florida Health Morsani College of Medicine,http://health.usf.edu/medicine/mdprogram/mdadmissions/,Florida,,3.78,3.78,MCAT - 517,517,MCAT - 517,517,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,42,Emory University School of Medicine,Emory University School of Medicine,http://med.emory.edu/education/admissions/md/index.html,Georgia,,3.8,3.8,MCAT - 517,517,MCAT - 517,517,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,43,Medical College of Georgia at Augusta University,Medical College of Georgia at Augusta University,http://www.augusta.edu/mcg/admissions/,Georgia,,3.82,3.82,MCAT - 513,513,MCAT - 513,513,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,44,Mercer University School of Medicine,Mercer University School of Medicine,http://medicine.mercer.edu/admissions/md/,Georgia,,3.73,3.73,MCAT - 504,504,MCAT - 504,504,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,45,Morehouse School of Medicine,Morehouse School of Medicine,http://www.msm.edu/Admissions/doctorofmedicine.php,Georgia,,3.63,3.63,MCAT - 504,504,MCAT - 504,504,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,47,University of Hawaii John A. Burns School of Medicine,University of Hawaii John A. Burns School of Medicine,http://jabsom.hawaii.edu/ed-programs/md-program/admissions-program/,Hawaii,,3.84,3.84,MCAT - 513,513,MCAT - 513,513,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,50,Chicago Medical School at Rosalind Franklin University of Medicine & Science,Chicago Medical School at Rosalind Franklin University of Medicine & Science,https://www.rosalindfranklin.edu/academics/chicago-medical-school/degree-program/how-to-apply/,Illinois,,374,374,MCAT - 513,513,MCAT - 513,513,parsed GPA outside expected range
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,51,Loyola University of Chicago Stritch School of Medicine,Loyola University of Chicago Stritch School of Medicine,http://ssom.luc.edu/admission/,Illinois,,3.76,3.76,MCAT - 512,512,MCAT - 512,512,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,52,Northwestern University The Feinberg School of Medicine,Northwestern University The Feinberg School of Medicine,http://www.feinberg.northwestern.edu/admissions/index.html,Illinois,,3.91,3.91,MCAT - 520,520,MCAT - 520,520,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,53,Rush Medical College of Rush University,Rush Medical College of Rush University,https://www.rushu.rush.edu/rush-medical-college/doctor-medicine-md-program,Illinois,,3.67,3.67,MCAT - 511,511,MCAT - 511,511,
