source_key,source_name,source_url,pdf_file,source_row_number,stream_index,row_y,state,school_name_raw,school_name_clean,support_systems_for_gender_and_sexual_minority_students,notes
aamc_msar_gender_sexual_minority_support,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/04_msar016-msar-support-systems-for-gender-and-sexual-minority-students.pdf,21,8,116.660,CO,University of Colorado School of Medicine,University of Colorado School of Medicine,"The school's mission is to support all students and help with creating a sense of belonging and inclusion, and to build community within the medical campus and beyond. There are multiple resources for student support across campus.",
aamc_msar_gender_sexual_minority_support,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/04_msar016-msar-support-systems-for-gender-and-sexual-minority-students.pdf,22,8,85.659,CT,Frank H. Netter MD School of Medicine at Quinnipiac University,Frank H. Netter MD School of Medicine at Quinnipiac University,"The Office of Student Affairs and the Academic Success Support Team support all students through faculty and staff advising, curricular enhancements, and student interest group engagement.",
aamc_msar_gender_sexual_minority_support,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/04_msar016-msar-support-systems-for-gender-and-sexual-minority-students.pdf,23,8,67.659,CT,University of Connecticut School of Medicine,University of Connecticut School of Medicine,"""Reach Out"" is the student organization for LGBTQ students.",
aamc_msar_gender_sexual_minority_support,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/04_msar016-msar-support-systems-for-gender-and-sexual-minority-students.pdf,24,10,581.661,CT,Yale School of Medicine,Yale School of Medicine,"The Dean ’ s Advisory Council on Lesbian, Gay, Bisexual, Transgender, Queer and Intersex Affairs collaborates with other groups to cultivate visible supports and a vibrant, connected community of LGBTQI+ individuals and their allies at YSM. The Advisory Council helps guide the expansion of LGBTQI+ health research, and coordinates efforts to foster an inclusive, patient-centered environment in which tailored care is available for LGBTQI+ patients. Furthermore, the Advisory Council oversees initiatives that prepare our trainees to serve all of their patients with excellence, regardless of sexual orientation or gender identity. Information about this important resource can be found online: https://medicine.yale.edu/lgbtqi/",
aamc_msar_gender_sexual_minority_support,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/04_msar016-msar-support-systems-for-gender-and-sexual-minority-students.pdf,25,10,559.661,DC,George Washington University School of Medicine & Health Sciences,George Washington University School of Medicine & Health Sciences,https://www.facebook.com/GWOutForHealth,
aamc_msar_gender_sexual_minority_support,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/04_msar016-msar-support-systems-for-gender-and-sexual-minority-students.pdf,26,10,537.661,DC,Georgetown University School of Medicine,Georgetown University School of Medicine,https://som.georgetown.edu/diversityequityandinclusion/studentorganizations/hoyares ources/services/,
aamc_msar_gender_sexual_minority_support,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/04_msar016-msar-support-systems-for-gender-and-sexual-minority-students.pdf,27,10,470.660,DC,Howard University College of Medicine,Howard University College of Medicine,"Howard University is committed to providing an educational, living, and working environment that is welcoming, respectful, and inclusive of all members of the University community, including all sexes, sexual orientations, gender expressions, and gender identities. There is a student organization with the College of Medicine specifically to support gender and sexual minority students. The larger university campus also has an Office of Intercultural Affairs and LGBTQ+ Resource Center to support students.",
aamc_msar_gender_sexual_minority_support,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/04_msar016-msar-support-systems-for-gender-and-sexual-minority-students.pdf,28,10,385.660,FL,Charles E. Schmidt College of Medicine at Florida Atlantic University,Charles E. Schmidt College of Medicine at Florida Atlantic University,"At the FAU College of Medicine, we support and promote diversity and inclusiveness. We work hard to create a health workforce of physicians and scientists capable of delivering high quality, equitable health care to all Americans and capable of eliminating health disparities, in not only our local communities, but globally as well. We have also created programs and policies to ensure not only the racial, ethnic and cultural diversity, but also the cognitive diversity of its students, faculty, and staff. Diversity goes beyond race and ethnicity and includes factors such as gender, educational background, individual achievement, research experience, non-traditional academic backgrounds, socioeconomic disadvantage, and other life adversity.",
aamc_msar_gender_sexual_minority_support,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/04_msar016-msar-support-systems-for-gender-and-sexual-minority-students.pdf,29,10,282.660,FL,Florida International University Herbert Wertheim College of Medicine,Florida International University Herbert Wertheim College of Medicine,"FIU Herbert Wertheim College of Medicine supports LGBTQIA+ students through student-led and institutional initiatives. Medical Students for Gender and Sexuality Advancement (Med GSA) promote awareness of gender- and sexuality-related health issues, builds peer support, and strengthens competency in inclusive patient care. The Office of Student Affairs offers confidential counseling and well-being services tailored to medical students, including support related to identity, stress, and professional growth. The college maintains a respectful learning environment through non-discrimination policies protecting students based on gender identity and sexual orientation, with clear reporting and support pathways. In addition, the FIU Pride Center and university resources provide campus programming, education, and community engagement that foster inclusion and connection.",
aamc_msar_gender_sexual_minority_support,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/04_msar016-msar-support-systems-for-gender-and-sexual-minority-students.pdf,30,10,125.659,FL,Florida State University College of Medicine,Florida State University College of Medicine,"The mission of the Council on Diversity and Inclusion is to ensure that diversity and inclusion are upheld as core institutional values. The Council seeks to increase awareness of the importance of diversity among faculty, staff, and students, by providing a safe place where individual differences are appreciated and uniqueness is supported and nurtured. Current and Ongoing Initiatives: * Provide a safe space for nonjudgmental listening and confidential mentoring - for anyone - on academic or social issues * Sponsor annual Grand Rounds events * Provide diversity and inclusion orientation sessions for new FSU COM students and employees * Select and feature recommended resources for diversity and inclusion affairs at COM and FSU * Develop diversity and inclusion training and education opportunities for FSU COM * Partner with FSU COM stakeholders to centralize mechanisms for faculty, staff, and students to confidentially report incidents and concerns",
aamc_msar_gender_sexual_minority_support,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/04_msar016-msar-support-systems-for-gender-and-sexual-minority-students.pdf,31,10,67.659,FL,Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,"Belonging, Equity, Diversity, and Inclusion Advisory Council, advances the mission of Nova Southeastern University by cultivating and supporting the ongoing development and implementation of processes, procedures, and programs that promote greater belonging, equity, diversity, and inclusion throughout all aspects of the University so that all members of NSU can be empowered to pursue their full potential and do their very best work.",
aamc_msar_gender_sexual_minority_support,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/04_msar016-msar-support-systems-for-gender-and-sexual-minority-students.pdf,32,12,599.661,FL,University of Central Florida College of Medicine,University of Central Florida College of Medicine,"- The COM ""LGBTQ+ Medical Student Allies"" organization actively supports all students. - Many COM staff and faculty members are trained and identified as Safe Zone members. These qualified individuals are known to LGBTQ+ students as a safe place to go for support. - The COM Counseling and Wellness Office at the COM is also available to all medical students who need to privately discuss any anxiety, stress, or other life concerns. This office has also trained several upper-class men to assist other medical students in coping with the stressors and anxieties of medical school.",
aamc_msar_gender_sexual_minority_support,AAMC MSAR Advisor Reports,https://students-residents.aamc.org/medical-school-admission-requirements/medical-school-admission-requirements-reports-applicants-and-advisors,data/raw/aamc/msar_reports/04_msar016-msar-support-systems-for-gender-and-sexual-minority-students.pdf,33,12,581.661,FL,University of Florida College of Medicine,University of Florida College of Medicine,,
