school_id,school_name,degree_type,campus_name,state_abbrev,school_website,aacom_profile_url,aacom_profile_title,aacom_city,aacom_state_abbrev,aacom_slug,match_status,match_score,match_reason,discovery_method,source_last_checked,fetch_status,review_status,notes
do_lmu_dcom_lincoln_memorial_university_debusk_college_of_osteopathic_medicine_harr,Lincoln Memorial University-DeBusk College of Osteopathic Medicine,DO,LMU-DCOM,TN,https://www.lmunet.edu/academics/schools/debusk-college-of-osteopathic-medicine,https://www.aacom.org/detail-pages/com/lincoln-memorial-university-debusk-college-of-osteopathic-medicine,Lincoln Memorial University-DeBusk College of Osteopathic Medicine,Harrogate,TN,lincoln-memorial-university-debusk-college-of-osteopathic-medicine,safe_match,1.42,High-confidence AACOM profile match. Location matched.,aacom_seed_fetch,2026-06-08,fetched,accepted_for_fetch,second_match_score=1.04
do_lmu_dcom_knoxville_lincoln_memorial_university_debusk_college_of_osteopathic_med,Lincoln Memorial University-DeBusk College of Osteopathic Medicine – Knoxville,DO,LMU-DCOM Knoxville,TN,https://www.lmunet.edu/academics/schools/debusk-college-of-osteopathic-medicine,https://www.aacom.org/detail-pages/com/dcom-at-lmu-knoxville,Lincoln Memorial University-DeBusk College of Osteopathic Medicine at Knoxville,Knoxville,TN,dcom-at-lmu-knoxville,safe_match,1.58,High-confidence AACOM profile match. Location matched.,aacom_seed_fetch,2026-06-08,fetched,accepted_for_fetch,second_match_score=1.16
do_lmu_dcom_orange_park_lincoln_memorial_university_debusk_college_of_osteopathic_m,Lincoln Memorial University-DeBusk College of Osteopathic Medicine – Orange Park,DO,LMU-DCOM – Orange Park,FL,https://www.lmunet.edu/debusk-college-of-osteopathic-medicine/do/dcom-in-orange-park/,https://www.aacom.org/detail-pages/com/lmu-dcom-at-orange-park,Lincoln Memorial University-DeBusk College of Osteopathic Medicine at Orange Park,Orange Park,FL,lmu-dcom-at-orange-park,safe_match,1.62,High-confidence AACOM profile match. Location matched.,aacom_seed_fetch,2026-06-08,fetched,accepted_for_fetch,second_match_score=0.35
do_mu_wcom_marian_university_tom_and_julie_wood_college_of_osteopathic_medicine_ind,Marian University Tom and Julie Wood College of Osteopathic Medicine,DO,MU-WCOM,IN,http://www.marian.edu/osteopathic-medical-school,https://www.aacom.org/detail-pages/com/marian-university-college-of-osteopathic-medicine,Marian University Tom and Julie Wood College of Osteopathic Medicine,Indianapolis,IN,marian-university-college-of-osteopathic-medicine,safe_match,1.42,High-confidence AACOM profile match. Location matched.,aacom_seed_fetch,2026-06-08,fetched,accepted_for_fetch,second_match_score=0.00
do_msom_meritus_school_of_osteopathic_medicine_hagerstown_maryland,Meritus School of Osteopathic Medicine,DO,MSOM,MD,https://msom.org/,https://www.aacom.org/detail-pages/com/meritus-school-of-osteopathic-medicine,Meritus School of Osteopathic Medicine,Hagerstown,MD,meritus-school-of-osteopathic-medicine,safe_match,1.42,High-confidence AACOM profile match. Location matched.,aacom_seed_fetch,2026-06-08,fetched,accepted_for_fetch,second_match_score=0.00
do_msucom_michigan_state_university_college_of_osteopathic_medicine_east_lansing_mi,Michigan State University College of Osteopathic Medicine,DO,MSUCOM,MI,http://www.com.msu.edu/,https://www.aacom.org/detail-pages/com/michigan-state-university-college-of-osteopathic-medicine,Michigan State University College of Osteopathic Medicine,East Lansing,MI,michigan-state-university-college-of-osteopathic-medicine,safe_match,1.42,High-confidence AACOM profile match. Location matched.,aacom_seed_fetch,2026-06-08,fetched,accepted_for_fetch,second_match_score=1.04
do_msucom_michigan_state_university_college_of_osteopathic_medicine_east_lansing_mi,Michigan State University College of Osteopathic Medicine,DO,MSUCOM,MI,http://www.com.msu.edu/,https://www.aacom.org/detail-pages/com/msucom-in-clinton-township,Michigan State University College of Osteopathic Medicine in Clinton Township,Clinton Township,MI,msucom-in-clinton-township,safe_match,1.12,High-confidence AACOM profile match.,aacom_seed_fetch,2026-06-08,fetched,accepted_for_fetch,second_match_score=1.04
do_msucom_dmc_michigan_state_university_college_of_osteopathic_medicine_detroit_mic,Michigan State University College of Osteopathic Medicine,DO,MSUCOM-DMC,MI,http://www.com.msu.edu/Students/Resources/DMC.htm,https://www.aacom.org/detail-pages/com/msucom-in-detroit,Michigan State University College of Osteopathic Medicine in Detroit,Detroit,MI,msucom-in-detroit,safe_match,1.42,High-confidence AACOM profile match. Location matched.,aacom_seed_fetch,2026-06-08,fetched,accepted_for_fetch,second_match_score=1.12
do_mwu_azcom_midwestern_university_arizona_college_of_osteopathic_medicine_glendale,Midwestern University Arizona College of Osteopathic Medicine,DO,MWU/AZCOM,AZ,https://www.midwestern.edu/#,https://www.aacom.org/detail-pages/com/arizona-college-of-osteopathic-medicine,Arizona College of Osteopathic Medicine,Glendale,AZ,arizona-college-of-osteopathic-medicine,safe_match,1.42,High-confidence AACOM profile match. Location matched.,aacom_seed_fetch,2026-06-08,fetched,accepted_for_fetch,second_match_score=1.04
do_mwu_ccom_midwestern_university_chicago_college_of_osteopathic_medicine_downers_g,Midwestern University Chicago College of Osteopathic Medicine,DO,MWU/CCOM,IL,https://www.midwestern.edu/programs_and_admission/il_osteopathic_medicine.html,https://www.aacom.org/detail-pages/com/chicago-college-of-osteopathic-medicine-at-midwestern-university,Chicago College of Osteopathic Medicine at Midwestern University,Downers Grove,IL,chicago-college-of-osteopathic-medicine-at-midwestern-university,safe_match,1.42,High-confidence AACOM profile match. Location matched.,aacom_seed_fetch,2026-06-08,fetched,accepted_for_fetch,second_match_score=0.35
