source_key,source_name,source_url,value_url,source_row_number,school_name_raw,school_name_clean,metric_context,gpa,mcat,notes
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://www.feinberg.northwestern.edu/admissions/index.html,52,Northwestern University The Feinberg School of Medicine,Northwestern University The Feinberg School of Medicine,published school average GPA and MCAT,3.91,520,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,https://www.rushu.rush.edu/rush-medical-college/doctor-medicine-md-program,53,Rush Medical College of Rush University,Rush Medical College of Rush University,published school average GPA and MCAT,3.67,511,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://www.siumed.edu/studentaffairs/admissions/home.html,54,Southern Illinois University School of Medicine,Southern Illinois University School of Medicine,published school average GPA and MCAT,3.81,506,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://pritzker.uchicago.edu/page/admissions,55,University of Chicago Pritzker School of Medicine,University of Chicago Pritzker School of Medicine,published school average GPA and MCAT,3.93,521,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://www.medicine.uic.edu/education/m_d_admissions,56,University of Illinois College of Medicine,University of Illinois College of Medicine,published school average GPA and MCAT,3.76,513,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,https://medicine.iu.edu/education/md/admissions/,58,Indiana University School of Medicine,Indiana University School of Medicine,published school average GPA and MCAT,3.76,513,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,https://medicine.uiowa.edu/md/admission-medical-school-md,60,University of Iowa Carver College of Medicine,University of Iowa Carver College of Medicine,published school average GPA and MCAT,3.85,512,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://www.kumc.edu/school-of-medicine/education/admissions.html,62,University of Kansas School of Medicine,University of Kansas School of Medicine,published school average GPA and MCAT,3.88,512,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://meded.med.uky.edu/medical-school-admissions,64,University of Kentucky College of Medicine,University of Kentucky College of Medicine,published school average GPA and MCAT,3.81,508,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://louisville.edu/medicine/admissions,65,University of Louisville School of Medicine,University of Louisville School of Medicine,published school average GPA and MCAT,3.77,509,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://www.medschool.lsuhsc.edu/admissions/,67,Louisiana State University-New Orleans School of Medicine,Louisiana State University-New Orleans School of Medicine,published school average GPA and MCAT,3.82,509,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,https://www.lsuhs.edu/our-schools/school-of-medicine,68,Louisiana State University-Shreveport School of Medicine,Louisiana State University-Shreveport School of Medicine,published school average GPA and MCAT,3.77,506,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://www2.tulane.edu/som/admissions/index.cfm,69,Tulane University School of Medicine,Tulane University School of Medicine,published school average GPA and MCAT,3.63,511,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://www.hopkinsmedicine.org/som/admissions/md/,71,Johns Hopkins University School of Medicine,Johns Hopkins University School of Medicine,published school average GPA and MCAT,3.95,521,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,https://medschool.usuhs.edu/admissions/application-requirements,72,Uniformed Services University of the Health Sciences F. Edward Hebert School of Medicine,Uniformed Services University of the Health Sciences F. Edward Hebert School of Medicine,published school average GPA and MCAT,3.76,510,
prospectivedoctor,ProspectiveDoctor,https://www.prospectivedoctor.com/gpa-and-mcat/,http://www.medschool.umaryland.edu/admissions/MD-Application/,73,University of Maryland School of Medicine,University of Maryland School of Medicine,published school average GPA and MCAT,3.83,514,
