school_id,school_name,degree_type,stats_cohort_year,metric_population,metric_type,mcat_median_accepted,mcat_median_matriculated,mcat_mean_enrolled,mcat_10th_percentile,mcat_25th_percentile,mcat_75th_percentile,mcat_90th_percentile,overall_gpa_median_accepted,overall_gpa_median_matriculated,overall_gpa_mean_enrolled,science_gpa_mean_enrolled,published_source_count,published_mcat_average,published_gpa_average,published_mcat_spread,published_gpa_spread,published_mcat_band,published_gpa_band,aamc_acceptance_rate,aamc_acceptance_rate_band,data_quality_rank,data_quality_band,source_name,source_url,source_snapshot_path,source_publication_date,source_last_checked,data_confidence,notes
md_medical_college_of_wisconsin_milwaukee_wisconsin,Medical College of Wisconsin,MD,,published school average,third_party_published_source_average,,,509.5,,,,,,,3.71,,2,509.5,3.71,3,0.03,510-513,3.60-3.79,56.7,55-69.9%,2,medium,ProspectiveDoctor; Shemmassian,http://www.mcw.edu/Medical-School/Admissions.htm; https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,,,2026-06-05,third_party_published_average_medium_quality,Average of available source-level published third-party GPA/MCAT values; CycleTrack excluded from the average; not official MSAR entering-class data.
md_medical_university_of_south_carolina_college_of_medicine_charleston_south_caroli,Medical University of South Carolina College of Medicine,MD,,published school average,third_party_published_source_average,,,513.1,,,,,,,3.79,,3,513.1,3.79,6,0.15,510-513,3.60-3.79,56.7,55-69.9%,3,low,ProspectiveDoctor; Shemmassian; The Match Guy,http://academicdepartments.musc.edu/com/education/admissions/; https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/; https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,,,2026-06-05,third_party_published_average_low_quality,Average of available source-level published third-party GPA/MCAT values; CycleTrack excluded from the average; not official MSAR entering-class data.
md_meharry_medical_college_school_of_medicine_nashville_tennessee,Meharry Medical College School of Medicine,MD,,published school average,third_party_published_source_average,,,503,,,,,,,3.49,,2,503,3.49,0,0.06,502-505,3.40-3.59,27.9,25-39.9%,1,high,ProspectiveDoctor; Shemmassian,http://www.mmc.edu/prospectivestudents/admissions/school-of-medicine/index.html; https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,,,2026-06-05,third_party_published_average_high_quality,Average of available source-level published third-party GPA/MCAT values; CycleTrack excluded from the average; not official MSAR entering-class data.
md_michigan_state_university_college_of_human_medicine_east_lansing_michigan,Michigan State University College of Human Medicine,MD,,published school average,third_party_published_source_average,,,508,,,,,,,3.49,,3,508,3.49,2,0.76,506-509,3.40-3.59,33.7,25-39.9%,3,low,ProspectiveDoctor; Shemmassian; The Match Guy,http://mdadmissions.msu.edu/ApplicationProcess/future/default2.htm; https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/; https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,,,2026-06-05,third_party_published_average_low_quality,Average of available source-level published third-party GPA/MCAT values; CycleTrack excluded from the average; not official MSAR entering-class data.
do_mwu_azcom_midwestern_university_arizona_college_of_osteopathic_medicine_glendale,Midwestern University Arizona College of Osteopathic Medicine,DO,,published school average,third_party_published_source_average,,,506.5,,,,,,,3.62,,1,506.5,3.62,0,0,506-509,3.60-3.79,40.4,40-54.9%,3,low,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,,,2026-06-05,third_party_published_average_low_quality,Average of available source-level published third-party GPA/MCAT values; CycleTrack excluded from the average; not official MSAR entering-class data.
md_morehouse_school_of_medicine_atlanta_georgia,Morehouse School of Medicine,MD,,published school average,third_party_published_source_average,,,504.6,,,,,,,3.64,,3,504.6,3.64,1.6,0.01,502-505,3.60-3.79,32,25-39.9%,1,high,ProspectiveDoctor; Shemmassian; The Match Guy,http://www.msm.edu/Admissions/doctorofmedicine.php; https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/; https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,,,2026-06-05,third_party_published_average_high_quality,Average of available source-level published third-party GPA/MCAT values; CycleTrack excluded from the average; not official MSAR entering-class data.
do_nyitcom_new_york_institute_of_technology_college_of_osteopathic_medicine_old_wes,New York Institute of Technology College of Osteopathic Medicine,DO,,published school average,third_party_published_source_average,,,506,,,,,,,3.62,,1,506,3.62,0,0,506-509,3.60-3.79,40.4,40-54.9%,3,low,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,,,2026-06-05,third_party_published_average_low_quality,Average of available source-level published third-party GPA/MCAT values; CycleTrack excluded from the average; not official MSAR entering-class data.
md_new_york_medical_college_valhalla_new_york,New York Medical College,MD,,published school average,third_party_published_source_average,,,514.7,,,,,,,3.68,,3,514.7,3.68,3,0.13,514-517,3.60-3.79,65.4,55-69.9%,2,medium,ProspectiveDoctor; Shemmassian; The Match Guy,http://www.nymc.edu/future-students/admission-offices/; https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/; https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,,,2026-06-05,third_party_published_average_medium_quality,Average of available source-level published third-party GPA/MCAT values; CycleTrack excluded from the average; not official MSAR entering-class data.
md_northwestern_university_feinberg_school_of_medicine_chicago_illinois,Northwestern University Feinberg School of Medicine,MD,,published school average,third_party_published_source_average,,,520.7,,,,,,,3.92,,3,520.7,3.92,1,0.02,Greater than 517,Greater than 3.79,82.9,70%+,1,high,ProspectiveDoctor; Shemmassian; The Match Guy,http://www.feinberg.northwestern.edu/admissions/index.html; https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/; https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,,,2026-06-05,third_party_published_average_high_quality,Average of available source-level published third-party GPA/MCAT values; CycleTrack excluded from the average; not official MSAR entering-class data.
md_nova_southeastern_university_dr_kiran_c_patel_college_of_allopathic_medicine_for,Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,MD,,published school average,third_party_published_source_average,,,510.5,,,,,,,3.71,,2,510.5,3.71,3,0.08,510-513,3.60-3.79,56.7,55-69.9%,2,medium,Shemmassian; The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/; https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,,,2026-06-05,third_party_published_average_medium_quality,Average of available source-level published third-party GPA/MCAT values; CycleTrack excluded from the average; not official MSAR entering-class data.
