cluster_id,canonical_school_name,sources_present,source_count,agreement_label,gpa_values,gpa_range,gpa_spread,mcat_values,mcat_range,mcat_spread,metric_definition_note,prospectivedoctor_school_name,prospectivedoctor_metric_context,prospectivedoctor_gpa,prospectivedoctor_mcat,prospectivedoctor_value_url,prospectivedoctor_notes,shemmassian_school_name,shemmassian_metric_context,shemmassian_gpa,shemmassian_mcat,shemmassian_value_url,shemmassian_notes,matchguy_school_name,matchguy_metric_context,matchguy_gpa,matchguy_mcat,matchguy_value_url,matchguy_notes,cycletrack_acceptance_median_school_name,cycletrack_acceptance_median_metric_context,cycletrack_acceptance_median_gpa,cycletrack_acceptance_median_mcat,cycletrack_acceptance_median_value_url,cycletrack_acceptance_median_notes
23,California University of Science and Medicine,cycletrack_acceptance_median;matchguy;shemmassian,3,major_conflict,3.61;3.79,3.61 - 3.79,0.18,511;510;515,510 - 515,5,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,California University of Science and Medicine,published school average GPA and MCAT,3.61,511,,,California University of Science and Medicine,published school average GPA and MCAT,,510,,,California University of Science and Medicine,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.79,515,https://cycletrack.org/explorer/school/California University of Science and Medicine,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
24,Campbell University,cycletrack_acceptance_median,1,single_source,3.75,3.75,,508,508,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Campbell University,CycleTrack crowdsourced DO acceptance median cGPA and MCAT,3.75,508,https://cycletrack.org/explorer/school/Campbell,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
25,Campbell University Jerry M. Wallace School of Osteopathic Medicine,shemmassian,1,single_source,3.61,3.61,,506,506,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,Campbell University Jerry M. Wallace School of Osteopathic Medicine,published school average GPA and MCAT,3.61,506,,,,,,,,,,,,,,
26,Carle Illinois,cycletrack_acceptance_median,1,single_source,3.84,3.84,,518,518,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Carle Illinois,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.84,518,https://cycletrack.org/explorer/school/Carle Illinois,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
27,Carle Illinois College of Medicine,shemmassian,1,single_source,3.73,3.73,,513,513,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,Carle Illinois College of Medicine,published school average GPA and MCAT,3.73,513,,source row carried an asterisk,,,,,,,,,,,,
28,Case Western Reserve,cycletrack_acceptance_median,1,single_source,3.93,3.93,,519,519,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Case Western Reserve,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.93,519,https://cycletrack.org/explorer/school/Case Western,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
29,Case Western Reserve University School of Medicine,matchguy;prospectivedoctor;shemmassian,3,minor_conflict,3.86;3.9;3.9,3.86 - 3.9,0.04,519;517;517,517 - 519,2,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Case Western Reserve University School of Medicine,published school average GPA and MCAT,3.86,519,http://case.edu/medicine/admissions/,,Case Western Reserve University School of Medicine,published school average GPA and MCAT,3.9,517,,,Case Western Reserve University School of Medicine,published school average GPA and MCAT,3.9,517,,,,,,,,
30,Central Michigan University,cycletrack_acceptance_median,1,single_source,3.87;3.84,3.84 - 3.87,0.03,510;514,510 - 514,4,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Central Michigan University; Western Michigan University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.87; 3.84,510; 514,https://cycletrack.org/explorer/school/Central Michigan; https://cycletrack.org/explorer/school/Western Michigan,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
31,Central Michigan University College of Medicine,prospectivedoctor;shemmassian,2,major_conflict,3.69;3.8,3.69 - 3.8,0.11,508;506,506 - 508,2,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Central Michigan University College of Medicine,published school average GPA and MCAT,3.69,508,https://www.cmich.edu/academics/colleges/college-of-medicine,,Central Michigan University College of Medicine,published school average GPA and MCAT,3.8,506,,source row carried an asterisk,,,,,,,,,,,,
32,Charles R. Drew University of Medicine and Science,cycletrack_acceptance_median,1,single_source,3.7,3.7,,511,511,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Charles R. Drew University of Medicine and Science,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.7,511,https://cycletrack.org/explorer/school/Charles R. Drew,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
33,Chicago Medical School at Rosalind Franklin University of Medicine and Science,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.69;3.69,3.69 - 3.69,0,513;508;508,508 - 513,5,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Chicago Medical School at Rosalind Franklin University of Medicine & Science,published school average GPA and MCAT,,513,https://www.rosalindfranklin.edu/academics/chicago-medical-school/degree-program/how-to-apply/,parsed GPA outside expected range; excluded invalid GPA from comparison math: 374,Chicago Medical School at Rosalind Franklin University of Medicine and Science,published school average GPA and MCAT,3.69,508,,,Chicago Medical School at Rosalind Franklin University of Medicine & Science,published school average GPA and MCAT,3.69,508,,,,,,,,
34,Cleveland Clinic Lerner,cycletrack_acceptance_median,1,single_source,3.97,3.97,,520,520,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Cleveland Clinic Lerner,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.97,520,https://cycletrack.org/explorer/school/Cleveland Clinic Lerner,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
