cluster_id,canonical_school_name,sources_present,source_count,agreement_label,gpa_values,gpa_range,gpa_spread,mcat_values,mcat_range,mcat_spread,metric_definition_note,prospectivedoctor_school_name,prospectivedoctor_metric_context,prospectivedoctor_gpa,prospectivedoctor_mcat,prospectivedoctor_value_url,prospectivedoctor_notes,shemmassian_school_name,shemmassian_metric_context,shemmassian_gpa,shemmassian_mcat,shemmassian_value_url,shemmassian_notes,matchguy_school_name,matchguy_metric_context,matchguy_gpa,matchguy_mcat,matchguy_value_url,matchguy_notes,cycletrack_acceptance_median_school_name,cycletrack_acceptance_median_metric_context,cycletrack_acceptance_median_gpa,cycletrack_acceptance_median_mcat,cycletrack_acceptance_median_value_url,cycletrack_acceptance_median_notes
95,Louisiana State University - New Orleans School of Medicine,prospectivedoctor;shemmassian,2,major_conflict,3.82;3.77;3.76;3.8,3.76 - 3.82,0.06,509;506;509;508,506 - 509,3,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Louisiana State University-New Orleans School of Medicine; Louisiana State University-Shreveport School of Medicine,published school average GPA and MCAT,3.82; 3.77,509; 506,http://www.medschool.lsuhsc.edu/admissions/; https://www.lsuhs.edu/our-schools/school-of-medicine,,Louisiana State University - New Orleans School of Medicine; Louisiana State University - Shreveport School of Medicine,published school average GPA and MCAT,3.76; 3.8,509; 508,,source row carried an asterisk,,,,,,,,,,,,
96,Louisiana State University School of Medicine in Shreveport,matchguy,1,single_source,3.7,3.7,,507,507,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,Louisiana State University School of Medicine in Shreveport,published school average GPA and MCAT,3.7,507,,,,,,,,
97,Loyola University,cycletrack_acceptance_median,1,single_source,3.86,3.86,,514,514,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Loyola University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.86,514,https://cycletrack.org/explorer/school/Loyola,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
98,Loyola University of Chicago Stritch School of Medicine,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.76;3.93;3.8;3.91;3.8,3.76 - 3.93,0.17,512;521;512;521;512,512 - 521,9,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Loyola University of Chicago Stritch School of Medicine; University of Chicago Pritzker School of Medicine,published school average GPA and MCAT,3.76; 3.93,512; 521,http://ssom.luc.edu/admission/; http://pritzker.uchicago.edu/page/admissions,,Loyola University of Chicago Stritch School of Medicine; University of Chicago Pritzker School of Medicine,published school average GPA and MCAT,3.8; 3.91,512; 521,,,Loyola University Chicago Stritch School of Medicine,published school average GPA and MCAT,3.8,512,,,,,,,,
99,Marian University,cycletrack_acceptance_median,1,single_source,3.86,3.86,,506,506,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Marian University,CycleTrack crowdsourced DO acceptance median cGPA and MCAT,3.86,506,https://cycletrack.org/explorer/school/Marian,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
100,Marshall University,cycletrack_acceptance_median,1,single_source,3.92,3.92,,515,515,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Marshall University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.92,515,https://cycletrack.org/explorer/school/Marshall,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
101,Marshall University Joan C. Edwards School of Medicine,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.7;3.81;3.81,3.7 - 3.81,0.11,502;506;506,502 - 506,4,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Marshall University Joan C. Edwards School of Medicine,published school average GPA and MCAT,3.7,502,http://jcesom.marshall.edu/admissions/,,Marshall University Joan C. Edwards School of Medicine,published school average GPA and MCAT,3.81,506,,source row carried an asterisk,Marshall University Joan C. Edwards School of Medicine,published school average GPA and MCAT,3.81,506,,,,,,,,
102,"Max Rady College of Medicine, Rady Faculty of Health Sciences, University of Manitoba",matchguy,1,single_source,4.27,4.27,,513,513,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,"Max Rady College of Medicine, Rady Faculty of Health Sciences, University of Manitoba",published school average GPA and MCAT,4.27,513,,,,,,,,
103,Mayo Clinic,cycletrack_acceptance_median,1,single_source,3.95,3.95,,522,522,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Mayo Clinic,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.95,522,https://cycletrack.org/explorer/school/Mayo,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
104,Mayo Clinic Alix School of Medicine,matchguy;shemmassian,2,close_agreement,3.95;3.95;3.95,3.95 - 3.95,0,521;521;521,521 - 521,0,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,Mayo Clinic Alix School of Medicine,published school average GPA and MCAT,3.95,521,,,Mayo Clinic Alix School of Medicine,published school average GPA and MCAT,3.95,521,,,,,,,,
105,Mayo Medical School,prospectivedoctor,1,single_source,3.94,3.94,,520,520,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Mayo Medical School,published school average GPA and MCAT,3.94,520,http://www.mayo.edu/mayo-clinic-school-of-medicine/programs/md/admissions-and-application-process,,,,,,,,,,,,,,,,,,,
106,Medical College of Georgia,cycletrack_acceptance_median,1,single_source,3.89,3.89,,516,516,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Medical College of Georgia,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.89,516,https://cycletrack.org/explorer/school/Medical College of Georgia,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
107,Medical College of Georgia at Augusta University,matchguy;prospectivedoctor;shemmassian,3,close_agreement,3.82;3.8;3.8,3.8 - 3.82,0.02,513;512;513,512 - 513,1,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Medical College of Georgia at Augusta University,published school average GPA and MCAT,3.82,513,http://www.augusta.edu/mcg/admissions/,,Medical College of Georgia at Augusta University,published school average GPA and MCAT,3.8,512,,source row carried an asterisk,Medical College of Georgia at Augusta University,published school average GPA and MCAT,3.8,513,,,,,,,,
108,Medical College of Wisconsin,cycletrack_acceptance_median;prospectivedoctor;shemmassian,3,major_conflict,3.73;3.7;3.86,3.7 - 3.86,0.16,511;508;514,508 - 514,6,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Medical College of Wisconsin,published school average GPA and MCAT,3.73,511,http://www.mcw.edu/Medical-School/Admissions.htm,,Medical College of Wisconsin,published school average GPA and MCAT,3.7,508,,,,,,,,,Medical College of Wisconsin,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.86,514,https://cycletrack.org/explorer/school/Medical College of Wisconsin,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
109,Medical University of South Carolina College of Medicine,cycletrack_acceptance_median;matchguy;prospectivedoctor;shemmassian,4,major_conflict,3.83;3.85;3.7;3.85,3.7 - 3.85,0.15,517;511.2;511;517,511 - 517,6,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Medical University of South Carolina College of Medicine,published school average GPA and MCAT,3.83,517,http://academicdepartments.musc.edu/com/education/admissions/,,Medical University of South Carolina College of Medicine,published school average GPA and MCAT,3.85,511.2,,source row carried an asterisk,Medical University of South Carolina College of Medicine,published school average GPA and MCAT,3.7,511,,,Medical University of South Carolina,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.85,517,https://cycletrack.org/explorer/school/Medical University of South Carolina,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
110,Meharry Medical College,cycletrack_acceptance_median,1,single_source,3.72,3.72,,511,511,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Meharry Medical College,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.72,511,https://cycletrack.org/explorer/school/Meharry,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
111,Meharry Medical College School of Medicine,prospectivedoctor;shemmassian,2,minor_conflict,3.52;3.46,3.46 - 3.52,0.06,503;503,503 - 503,0,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Meharry Medical College School of Medicine,published school average GPA and MCAT,3.52,503,http://www.mmc.edu/prospectivestudents/admissions/school-of-medicine/index.html,,Meharry Medical College School of Medicine,published school average GPA and MCAT,3.46,503,,,,,,,,,,,,,,
112,Mercer University,cycletrack_acceptance_median,1,single_source,3.83,3.83,,511,511,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Mercer University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.83,511,https://cycletrack.org/explorer/school/Mercer,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
113,Meritus School of Osteopathic Medicine,cycletrack_acceptance_median,1,single_source,3.69;3.82,3.69 - 3.82,0.13,506;512,506 - 512,6,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Meritus School of Osteopathic Medicine; Rowan-Virtua School of Osteopathic Medicine,CycleTrack crowdsourced DO acceptance median cGPA and MCAT,3.69; 3.82,506; 512,https://cycletrack.org/explorer/school/Meritus SOM; https://cycletrack.org/explorer/school/Rowan,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
114,Methodist University,cycletrack_acceptance_median,1,single_source,3.82,3.82,,512,512,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Methodist University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.82,512,https://cycletrack.org/explorer/school/Methodist University,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
115,Michigan State University,cycletrack_acceptance_median,1,single_source,3.83;3.77;3.92,3.77 - 3.92,0.15,512;510;518,510 - 518,8,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Michigan State University; Ohio State University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT; CycleTrack crowdsourced DO acceptance median cGPA and MCAT,3.83; 3.77; 3.92,512; 510; 518,https://cycletrack.org/explorer/school/Michigan State; https://cycletrack.org/explorer/school/Michigan State COM; https://cycletrack.org/explorer/school/Ohio State,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
116,Michigan State University College of Human Medicine,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.76;3.7;3,3 - 3.76,0.76,509;507,507 - 509,2,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Michigan State University College of Human Medicine,published school average GPA and MCAT,3.76,509,http://mdadmissions.msu.edu/ApplicationProcess/future/default2.htm,,Michigan State University College of Human Medicine,published school average GPA and MCAT,3.7,507,,source row carried an asterisk,Michigan State University College of Human Medicine,published school average GPA and MCAT,3,,,,,,,,,
117,Michigan State University College of Osteopathic Medicine,shemmassian,1,single_source,3.5;3.53;3.8,3.5 - 3.8,0.3,506;505;506,505 - 506,1,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,Michigan State University College of Osteopathic Medicine; William Carey University College of Osteopathic Medicine; Sam Houston State University College of Osteopathic Medicine,published school average GPA and MCAT,3.5; 3.53; 3.8,506; 505,,source row carried an asterisk,,,,,,,,,,,,
118,Midwestern University,cycletrack_acceptance_median,1,single_source,3.8,3.8,,512,512,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Midwestern University,CycleTrack crowdsourced DO acceptance median cGPA and MCAT,3.8,512,https://cycletrack.org/explorer/school/Midwestern - Chicago,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
119,Morehouse School of Medicine,cycletrack_acceptance_median;matchguy;prospectivedoctor;shemmassian,4,major_conflict,3.63;3.64;3.64;3.78,3.63 - 3.78,0.15,504;504.1;505.6;511.5,504 - 511.5,7.5,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Morehouse School of Medicine,published school average GPA and MCAT,3.63,504,http://www.msm.edu/Admissions/doctorofmedicine.php,,Morehouse School of Medicine,published school average GPA and MCAT,3.64,504.1,,,Morehouse School of Medicine,published school average GPA and MCAT,3.64,505.6,,,Morehouse School of Medicine,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.78,511.5,https://cycletrack.org/explorer/school/Morehouse,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
120,NYU Grossman,cycletrack_acceptance_median,1,single_source,3.97,3.97,,523,523,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,NYU Grossman,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.97,523,https://cycletrack.org/explorer/school/New York University - Grossman,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
121,New York Institute of Technology,cycletrack_acceptance_median,1,single_source,3.78,3.78,,509,509,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,New York Institute of Technology,CycleTrack crowdsourced DO acceptance median cGPA and MCAT,3.78,509,https://cycletrack.org/explorer/school/New York Institute of Technology,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
122,New York Institute of Technology College of Osteopathic Medicine,shemmassian,1,single_source,3.62,3.62,,506,506,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,New York Institute of Technology College of Osteopathic Medicine,published school average GPA and MCAT,3.62,506,,,,,,,,,,,,,,
123,New York Medical College,cycletrack_acceptance_median;matchguy;prospectivedoctor;shemmassian,4,major_conflict,3.72;3.6;3.73;3.9,3.6 - 3.9,0.3,513;516;515;518,513 - 518,5,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,New York Medical College,published school average GPA and MCAT,3.72,513,http://www.nymc.edu/future-students/admission-offices/,,New York Medical College,published school average GPA and MCAT,3.6,516,,,New York Medical College,published school average GPA and MCAT,3.73,515,,,New York Medical College,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.9,518,https://cycletrack.org/explorer/school/New York Medical College,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
124,New York University Grossman School of Medicine,matchguy;shemmassian,2,major_conflict,3.98;3.94;3.95,3.94 - 3.98,0.04,523;516;522.39,516 - 523,7,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,New York University Grossman School of Medicine; New York University Long Island School of Medicine,published school average GPA and MCAT,3.98; 3.94,523; 516,,,New York University Grossman School of Medicine,published school average GPA and MCAT,3.95,522.39,,,,,,,,
125,Northeast Ohio Medical University,cycletrack_acceptance_median;matchguy;prospectivedoctor;shemmassian,4,major_conflict,3.76;3.75;3.75;3.84,3.75 - 3.84,0.09,507;511;511;515,507 - 515,8,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Northeast Ohio Medical University,published school average GPA and MCAT,3.76,507,http://www.neomed.edu/admissions/apply/#com,,Northeast Ohio Medical University,published school average GPA and MCAT,3.75,511,,source row carried an asterisk,Northeast Ohio Medical University,published school average GPA and MCAT,3.75,511,,,Northeast Ohio Medical University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.84,515,https://cycletrack.org/explorer/school/Northeast Ohio,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
126,Northern Ontario School of Medicine,matchguy,1,single_source,3.79,3.79,,,,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,Northern Ontario School of Medicine,published school average GPA and MCAT,3.79,,,,,,,,,
127,Northwestern University,cycletrack_acceptance_median,1,single_source,3.95,3.95,,521,521,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Northwestern University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.95,521,https://cycletrack.org/explorer/school/Northwestern,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
128,Northwestern University The Feinberg School of Medicine,matchguy;prospectivedoctor;shemmassian,3,close_agreement,3.91;3.93;3.93,3.91 - 3.93,0.02,520;521;521,520 - 521,1,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Northwestern University The Feinberg School of Medicine,published school average GPA and MCAT,3.91,520,http://www.feinberg.northwestern.edu/admissions/index.html,,Northwestern University The Feinberg School of Medicine,published school average GPA and MCAT,3.93,521,,,Northwestern University The Feinberg School of Medicine,published school average GPA and MCAT,3.93,521,,,,,,,,
129,Nova Southeastern University,cycletrack_acceptance_median,1,single_source,3.76;3.72,3.72 - 3.76,0.04,512;507,507 - 512,5,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Nova Southeastern University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT; CycleTrack crowdsourced DO acceptance median cGPA and MCAT,3.76; 3.72,512; 507,https://cycletrack.org/explorer/school/Nova Southeastern; https://cycletrack.org/explorer/school/Nova Southeastern COM,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
130,Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,matchguy;shemmassian,2,major_conflict,3.75;3.6;3.75,3.6 - 3.75,0.15,512;506;512,506 - 512,6,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine; Nova Southeastern University Dr. Kiran C. Patel College of Osteopathic Medicine,published school average GPA and MCAT,3.75; 3.6,512; 506,,,Nova Southeastern University Dr. Kiran C. Patel College of Allopathic Medicine,published school average GPA and MCAT,3.75,512,,,,,,,,
131,Oakland University,cycletrack_acceptance_median,1,single_source,3.93,3.93,,513.5,513.5,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Oakland University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.93,513.5,https://cycletrack.org/explorer/school/Oakland,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
132,Oakland University William Beaumont School of Medicine,matchguy;prospectivedoctor;shemmassian,3,close_agreement,3.85;3.89;3.89,3.85 - 3.89,0.04,510;510;510,510 - 510,0,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Oakland University William Beaumont School of Medicine,published school average GPA and MCAT,3.85,510,https://wwwp.oakland.edu/medicine/admissions/about/,,Oakland University William Beaumont School of Medicine,published school average GPA and MCAT,3.89,510,,,Oakland University William Beaumont School of Medicine,published school average GPA and MCAT,3.89,510,,,,,,,,
133,Ohio University,cycletrack_acceptance_median,1,single_source,3.79,3.79,,510,510,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Ohio University,CycleTrack crowdsourced DO acceptance median cGPA and MCAT,3.79,510,https://cycletrack.org/explorer/school/Ohio University,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
134,Ohio University Heritage College of Osteopathic Medicine,shemmassian,1,single_source,3.68,3.68,,503.46,503.46,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,Ohio University Heritage College of Osteopathic Medicine,published school average GPA and MCAT,3.68,503.46,,source row carried an asterisk,,,,,,,,,,,,
135,Oklahoma State University,cycletrack_acceptance_median,1,single_source,3.93,3.93,,506,506,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Oklahoma State University,CycleTrack crowdsourced DO acceptance median cGPA and MCAT,3.93,506,https://cycletrack.org/explorer/school/Oklahoma State,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
136,Oklahoma State University Center for Health Sciences College of Osteopathic Medicine,shemmassian,1,single_source,3.6,3.6,,500,500,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,Oklahoma State University Center for Health Sciences College of Osteopathic Medicine,published school average GPA and MCAT,3.6,500,,source row carried an asterisk,,,,,,,,,,,,
137,Oregon Health & Science University,cycletrack_acceptance_median,1,single_source,3.8,3.8,,515,515,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Oregon Health & Science University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.8,515,https://cycletrack.org/explorer/school/Oregon Health and Science,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
138,Oregon Health & Science University School of Medicine,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.77;3.66;3.66,3.66 - 3.77,0.11,512;509;509,509 - 512,3,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Oregon Health & Science University School of Medicine,published school average GPA and MCAT,3.77,512,http://www.ohsu.edu/xd/education/schools/school-of-medicine/education/future-students.cfm,,Oregon Health & Science University School of Medicine,published school average GPA and MCAT,3.66,509,,source row carried an asterisk,Oregon Health & Science University School of Medicine,published school average GPA and MCAT,3.66,509,,,,,,,,
139,Pacific Northwest University,cycletrack_acceptance_median,1,single_source,3.68,3.68,,507,507,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Pacific Northwest University,CycleTrack crowdsourced DO acceptance median cGPA and MCAT,3.68,507,https://cycletrack.org/explorer/school/Pacific Northwest,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
140,Pacific Northwestern University of Health Sciences College of Osteopathic Medicine,shemmassian,1,single_source,3.6,3.6,,503,503,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,Pacific Northwestern University of Health Sciences College of Osteopathic Medicine,published school average GPA and MCAT,3.6,503,,,,,,,,,,,,,,
141,Pennsylvania State University,cycletrack_acceptance_median,1,single_source,3.87,3.87,,512.5,512.5,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Pennsylvania State University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.87,512.5,https://cycletrack.org/explorer/school/Penn State,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
142,Pennsylvania State University College of Medicine,prospectivedoctor;shemmassian,2,minor_conflict,3.81;3.75,3.75 - 3.81,0.06,512;511,511 - 512,1,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Pennsylvania State University College of Medicine,published school average GPA and MCAT,3.81,512,http://med.psu.edu/md/apply,,Pennsylvania State University College of Medicine,published school average GPA and MCAT,3.75,511,,source row carried an asterisk,,,,,,,,,,,,
143,Perelman School of Medicine University of Pennsylvania,matchguy;prospectivedoctor;shemmassian,3,close_agreement,3.94;3.97;3.94,3.94 - 3.97,0.03,522;521;521.7,521 - 522,1,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Perelman School of Medicine University of Pennsylvania,published school average GPA and MCAT,3.94,522,http://www.med.upenn.edu/admissions/,,Perelman School of Medicine University of Pennsylvania,published school average GPA and MCAT,3.97,521,,,Perelman School of Medicine at the University of Pennsylvania,published school average GPA and MCAT,3.94,521.7,,,,,,,,
144,Philadelphia College of Osteopathic Medicine,cycletrack_acceptance_median;shemmassian,2,major_conflict,3.5;3.77;3.75,3.5 - 3.77,0.27,504;510.5;506.5,504 - 510.5,6.5,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,Philadelphia College of Osteopathic Medicine,published school average GPA and MCAT,3.5,504,,,,,,,,,Philadelphia College of Osteopathic Medicine; Philadelphia College of Osteopathic Medicine (Georgia),CycleTrack crowdsourced DO acceptance median cGPA and MCAT,3.77; 3.75,510.5; 506.5,https://cycletrack.org/explorer/school/Philadelphia COM; https://cycletrack.org/explorer/school/Philadelphia COM - Georgia,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
145,Philadelphia College of Osteopathic Medicine (South Georgia),cycletrack_acceptance_median,1,single_source,3.71,3.71,,503,503,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Philadelphia College of Osteopathic Medicine (South Georgia),CycleTrack crowdsourced DO acceptance median cGPA and MCAT,3.71,503,https://cycletrack.org/explorer/school/Philadelphia COM - South Georgia,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
146,Ponce Health Sciences University,cycletrack_acceptance_median,1,single_source,3.71,3.71,,503,503,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Ponce Health Sciences University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.71,503,https://cycletrack.org/explorer/school/Ponce Health Sciences,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
147,Ponce School of Medicine and Health Sciences,prospectivedoctor;shemmassian,2,major_conflict,3.64;3.5,3.5 - 3.64,0.14,499;499,499 - 499,0,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Ponce School of Medicine and Health Sciences,published school average GPA and MCAT,3.64,499,http://www.psm.edu/education/md-program/,,Ponce School of Medicine and Health Sciences,published school average GPA and MCAT,3.5,499,,,,,,,,,,,,,,
148,Queen’s University Faculty of Health Sciences,matchguy,1,single_source,3.75,3.75,,513,513,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,Queen’s University Faculty of Health Sciences,published school average GPA and MCAT,3.75,513,,,,,,,,
149,Quinnipiac University,cycletrack_acceptance_median,1,single_source,3.82,3.82,,514,514,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Quinnipiac University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.82,514,https://cycletrack.org/explorer/school/Quinnipiac,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
150,Quinnipiac University Frank H. Netter MD School of Medicine,matchguy;prospectivedoctor;shemmassian,3,close_agreement,3.68;3.7;3.7,3.68 - 3.7,0.02,512;511;511,511 - 512,1,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,Quinnipiac University Frank H. Netter MD School of Medicine,published school average GPA and MCAT,3.68,512,https://www.qu.edu/schools/medicine/admissions.html,,Quinnipiac University Frank H. Netter MD School of Medicine,published school average GPA and MCAT,3.7,511,,,Frank H. Netter MD School of Medicine at Quinnipiac University,published school average GPA and MCAT,3.7,511,,,,,,,,
151,Rocky Vista University,cycletrack_acceptance_median,1,single_source,3.8;3.69,3.69 - 3.8,0.11,510;505,505 - 510,5,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Rocky Vista University; Rocky Vista University (Montana),CycleTrack crowdsourced DO acceptance median cGPA and MCAT,3.8; 3.69,510; 505,https://cycletrack.org/explorer/school/Rocky Vista; https://cycletrack.org/explorer/school/Rocky Vista - Montana,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
152,Rocky Vista University College of Osteopathic Medicine,shemmassian,1,single_source,3.61,3.61,,506,506,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,Rocky Vista University College of Osteopathic Medicine,published school average GPA and MCAT,3.61,506,,,,,,,,,,,,,,
153,Rosalind Franklin University,cycletrack_acceptance_median,1,single_source,3.78,3.78,,513,513,,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,,,,,,,,,,,,,,,,,,,Rosalind Franklin University,CycleTrack crowdsourced MD acceptance median cGPA and MCAT,3.78,513,https://cycletrack.org/explorer/school/Rosalind Franklin,Not an official entering-class average; CycleTrack is crowdsourced applicant/outcome data.
