cluster_id,canonical_school_name,school_id,sources_present,source_count,agreement_label,gpa_values,gpa_range,gpa_spread,mcat_values,mcat_range,mcat_spread,metric_definition_note,recommended_action
95,Louisiana State University - New Orleans School of Medicine,,prospectivedoctor;shemmassian,2,major_conflict,3.82;3.77;3.76;3.8,3.76 - 3.82,0.06,509;506;509;508,506 - 509,3,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
98,Loyola University of Chicago Stritch School of Medicine,md_loyola_university_chicago_stritch_school_of_medicine_maywood_illinois,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.76;3.93;3.8;3.91;3.8,3.76 - 3.93,0.17,512;521;512;521;512,512 - 521,9,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
101,Marshall University Joan C. Edwards School of Medicine,md_marshall_university_joan_c_edwards_school_of_medicine_huntington_west_virginia,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.7;3.81;3.81,3.7 - 3.81,0.11,502;506;506,502 - 506,4,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
108,Medical College of Wisconsin,md_medical_college_of_wisconsin_milwaukee_wisconsin,cycletrack_acceptance_median;prospectivedoctor;shemmassian,3,major_conflict,3.73;3.7;3.86,3.7 - 3.86,0.16,511;508;514,508 - 514,6,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
109,Medical University of South Carolina College of Medicine,md_medical_university_of_south_carolina_college_of_medicine_charleston_south_caroli,cycletrack_acceptance_median;matchguy;prospectivedoctor;shemmassian,4,major_conflict,3.83;3.85;3.7;3.85,3.7 - 3.85,0.15,517;511.2;511;517,511 - 517,6,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
111,Meharry Medical College School of Medicine,md_meharry_medical_college_school_of_medicine_nashville_tennessee,prospectivedoctor;shemmassian,2,minor_conflict,3.52;3.46,3.46 - 3.52,0.06,503;503,503 - 503,0,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
116,Michigan State University College of Human Medicine,md_michigan_state_university_college_of_human_medicine_east_lansing_michigan,matchguy;prospectivedoctor;shemmassian,3,major_conflict,3.76;3.7;3,3 - 3.76,0.76,509;507,507 - 509,2,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
119,Morehouse School of Medicine,md_morehouse_school_of_medicine_atlanta_georgia,cycletrack_acceptance_median;matchguy;prospectivedoctor;shemmassian,4,major_conflict,3.63;3.64;3.64;3.78,3.63 - 3.78,0.15,504;504.1;505.6;511.5,504 - 511.5,7.5,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
123,New York Medical College,md_new_york_medical_college_valhalla_new_york,cycletrack_acceptance_median;matchguy;prospectivedoctor;shemmassian,4,major_conflict,3.72;3.6;3.73;3.9,3.6 - 3.9,0.3,513;516;515;518,513 - 518,5,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
124,New York University Grossman School of Medicine,,matchguy;shemmassian,2,major_conflict,3.98;3.94;3.95,3.94 - 3.98,0.04,523;516;522.39,516 - 523,7,Published source rows are school averages; CycleTrack rows are crowdsourced acceptance medians.,manual review before promoting to canonical admissions_stats
