severity,file,row_id,field,message,suggested_fix
warning,data/manual/admissions_source_queue.csv,do_ou_hcom_dublin_ohio_university_heritage_college_of_osteopathic_medicine_dublin_d,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_osu_com_tahlequah_oklahoma_state_university_center_for_health_sciences_college_o,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_osu_com_oklahoma_state_university_center_for_health_sciences_college_of_osteopat,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_westernu_comp_northwest_western_university_of_health_sciences_college_of_osteopa,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_lecom_lake_erie_college_of_osteopathic_medicine_erie_erie_pennsylvania,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_lecom_seton_hill_lake_erie_college_of_osteopathic_medicine_seton_hill_greensburg,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_iupcom_indiana_university_of_pennsylvania_college_of_osteopathic_medicine_indian,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_pcom_philadelphia_college_of_osteopathic_medicine_philadelphia_pennsylvania,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_duqcom_duquesne_university_nasuti_college_of_osteopathic_medicine_pittsburgh_pen,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_vcom_carolinas_edward_via_college_of_osteopathic_medicine_spartanburg_south_caro,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_lmu_dcom_lincoln_memorial_university_debusk_college_of_osteopathic_medicine_harr,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
warning,data/manual/admissions_source_queue.csv,do_lmu_dcom_knoxville_lincoln_memorial_university_debusk_college_of_osteopathic_med,candidate_source_url,Admissions source queue URL is blank.,Add a public admissions profile URL when reviewed.
