source_table,source_row_number,source_school_name,source_state,source_degree_type,best_school_id,best_school_name,best_match_score,second_school_id,second_school_name,second_match_score,match_label,review_reason,recommended_action
all_comparable_mcat_gpa_sources.csv,229,Central Michigan University College of Medicine,,,md_covenant_healthcare_college_of_medicine_at_central_michigan_university_mount_ple,Covenant HealthCare College of Medicine at Central Michigan University,0.815,md_roseman_university_college_of_medicine_las_vegas_nevada,Roseman University College of Medicine,0.81,review,ambiguous_match_gap,review candidate stats match
all_comparable_mcat_gpa_sources.csv,234,Western Michigan University School of Medicine,,,md_west_virginia_university_school_of_medicine_morgantown_west_virginia,West Virginia University School of Medicine,0.843,md_university_of_michigan_medical_school_ann_arbor_michigan,University of Michigan Medical School,0.831,review,ambiguous_match_gap,review candidate stats match
all_comparable_mcat_gpa_sources.csv,235,Michigan State University College of Osteopathic Medicine,,,do_msucom_dmc_michigan_state_university_college_of_osteopathic_medicine_detroit_mic,Michigan State University College of Osteopathic Medicine,1,do_msucom_michigan_state_university_college_of_osteopathic_medicine_east_lansing_mi,Michigan State University College of Osteopathic Medicine,1,review,ambiguous_match_gap,review candidate stats match
all_comparable_mcat_gpa_sources.csv,237,University of Minnesota Medical School - Twin Cities,,,md_university_of_minnesota_medical_school_minneapolis_minnesota,University of Minnesota Medical School,0.854,md_southern_illinois_university_school_of_medicine_springfield_illinois,Southern Illinois University School of Medicine,0.725,review,below_safe_threshold,review candidate stats match
all_comparable_mcat_gpa_sources.csv,238,University of Minnesota Medical School - Duluth,,,md_university_of_minnesota_medical_school_minneapolis_minnesota,University of Minnesota Medical School,0.909,md_duke_university_school_of_medicine_durham_north_carolina,Duke University School of Medicine,0.795,review,below_safe_threshold,review candidate stats match
all_comparable_mcat_gpa_sources.csv,243,A.T. Still University of Health Sciences Kirksville College of Osteopathic Medicine,,,do_atsu_kcom_a_t_still_university_kirksville_college_of_osteopathic_medicine_kirksv,A.T. Still University – Kirksville College of Osteopathic Medicine,0.882,do_bucom_baptist_health_sciences_university_college_of_osteopathic_medicine_memphis,Baptist Health Sciences University College of Osteopathic Medicine,0.82,review,below_safe_threshold,review candidate stats match
all_comparable_mcat_gpa_sources.csv,244,Kansas City University of Medicine and Biosciences College of Osteopathic Medicine,,,do_kcu_com_joplin_kansas_city_university_of_medicine_and_biosciences_college_of_ost,Kansas City University of Medicine and Biosciences College of Osteopathic Medicine,1,do_kcu_com_kansas_city_university_of_medicine_and_biosciences_college_of_osteopathi,Kansas City University of Medicine and Biosciences College of Osteopathic Medicine,1,review,ambiguous_match_gap,review candidate stats match
all_comparable_mcat_gpa_sources.csv,249,University of North Carolina at Chapel Hill School of Medicine,,,md_university_of_north_carolina_school_of_medicine_chapel_hill_north_carolina,University of North Carolina School of Medicine,0.872,md_university_of_south_carolina_school_of_medicine_greenville_greenville_south_caro,"University of South Carolina School of Medicine, Greenville",0.762,review,below_safe_threshold,review candidate stats match
all_comparable_mcat_gpa_sources.csv,250,Wake Forest School of Medicine,,,md_wake_forest_university_school_of_medicine_winston_salem_north_carolina,Wake Forest University School of Medicine,0.831,md_morehouse_school_of_medicine_atlanta_georgia,Morehouse School of Medicine,0.769,review,below_safe_threshold,review candidate stats match
all_comparable_mcat_gpa_sources.csv,254,University of Nebraska Medical Center College of Medicine,,,md_university_of_nebraska_college_of_medicine_omaha_nebraska,University of Nebraska College of Medicine,0.828,md_rush_medical_college_of_rush_university_medical_center_chicago_illinois,Rush Medical College of Rush University Medical Center,0.809,review,ambiguous_match_gap,review candidate stats match
all_comparable_mcat_gpa_sources.csv,260,Rowan University School of Osteopathic Medicine,,,do_rowan_virtuasom_rowan_virtua_school_of_osteopathic_medicine_stratford_new_jersey,Rowan-Virtua School of Osteopathic Medicine,0.833,do_rowan_virtuasom_sewell_rowan_virtua_school_of_osteopathic_medicine_sewell_new_je,Rowan-Virtua School of Osteopathic Medicine,0.833,review,ambiguous_match_gap,review candidate stats match
