school_id,school_name,degree_type,candidate_source_url,candidate_source_title,candidate_source_type,source_host,official_domain_status,official_domain_score,fetch_status,extraction_status,review_status,review_reason,evidence_text,recommended_action,last_checked,notes
md_emory_university_school_of_medicine_atlanta_georgia,Emory University School of Medicine,MD,http://med.emory.edu/about/facts-and-figures/index.html,Facts and Figures | Emory School of Medicine Toggle Toggle Toggle Toggle Search Close Search Search Toggle open Toggle close Sub link Toggle open Toggle close Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Toggle open Toggle close Sub link Sub link Toggle open Toggle close Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Sub link Search Close Home Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle,annual_report,med.emory.edu,official_school_domain,1.00,fetched,no_relevant_stats_found,needs_review,stats_not_found,,Review source manually or keep as official source missing.,2026-06-08,No class-profile MCAT/GPA values found.
md_emory_university_school_of_medicine_atlanta_georgia,Emory University School of Medicine,MD,http://med.emory.edu/admissions/class-profile/,Admissions | Emory School of Medicine Toggle Toggle Toggle Toggle Search Close Search Search Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Sub link Search Close Home Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle,annual_report,med.emory.edu,official_school_domain,1.00,fetched,no_relevant_stats_found,needs_review,stats_not_found,,Review source manually or keep as official source missing.,2026-06-08,No class-profile MCAT/GPA values found.
md_emory_university_school_of_medicine_atlanta_georgia,Emory University School of Medicine,MD,http://med.emory.edu/admissions/class-statistics/,Admissions | Emory School of Medicine Toggle Toggle Toggle Toggle Search Close Search Search Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Sub link Search Close Home Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle,annual_report,med.emory.edu,official_school_domain,1.00,fetched,no_relevant_stats_found,needs_review,stats_not_found,,Review source manually or keep as official source missing.,2026-06-08,No class-profile MCAT/GPA values found.
md_emory_university_school_of_medicine_atlanta_georgia,Emory University School of Medicine,MD,http://med.emory.edu/admissions/entering-class-profile/,Admissions | Emory School of Medicine Toggle Toggle Toggle Toggle Search Close Search Search Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Sub link Search Close Home Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle,annual_report,med.emory.edu,official_school_domain,1.00,fetched,no_relevant_stats_found,needs_review,stats_not_found,,Review source manually or keep as official source missing.,2026-06-08,No class-profile MCAT/GPA values found.
md_emory_university_school_of_medicine_atlanta_georgia,Emory University School of Medicine,MD,http://med.emory.edu/admissions/entering-class-statistics/,Admissions | Emory School of Medicine Toggle Toggle Toggle Toggle Search Close Search Search Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Sub link Search Close Home Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle,annual_report,med.emory.edu,official_school_domain,1.00,fetched,no_relevant_stats_found,needs_review,stats_not_found,,Review source manually or keep as official source missing.,2026-06-08,No class-profile MCAT/GPA values found.
md_emory_university_school_of_medicine_atlanta_georgia,Emory University School of Medicine,MD,http://med.emory.edu/departments/pediatrics/divisions/general/partners/annual-report/index.html,Annual Report | Emory School of Medicine Toggle Toggle Toggle Toggle Search Close Search Search Toggle open Toggle close Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Sub link Search Close Home Toggle Toggle Toggle Toggle,annual_report,med.emory.edu,official_school_domain,1.00,fetched,no_relevant_stats_found,needs_review,stats_not_found,,Review source manually or keep as official source missing.,2026-06-08,No class-profile MCAT/GPA values found.
md_emory_university_school_of_medicine_atlanta_georgia,Emory University School of Medicine,MD,http://med.emory.edu/departments/surgery/about-us/annual-reports.html,Annual Reports | Emory School of Medicine Toggle Toggle Toggle Toggle Search Close Search Search Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Sub link Search Close Home Toggle Toggle Toggle Toggle,annual_report,med.emory.edu,official_school_domain,1.00,fetched,no_relevant_stats_found,needs_review,stats_not_found,,Review source manually or keep as official source missing.,2026-06-08,No class-profile MCAT/GPA values found.
md_emory_university_school_of_medicine_atlanta_georgia,Emory University School of Medicine,MD,http://med.emory.edu/education/admissions/md/class-profile/index.html,M1 Class Profile Fall 2025,class_profile,med.emory.edu,official_school_domain,1.00,fetch_failed_http_404,fetch_failed_http_404,needs_review,fetch_failed_http_404,,Review source manually.,2026-06-08,HTTP Error 404: Not Found
md_emory_university_school_of_medicine_atlanta_georgia,Emory University School of Medicine,MD,http://med.emory.edu/education/admissions/md/index.html,Doctor of Medicine (MD) | Emory School of Medicine Toggle Toggle Toggle Toggle Search Close Search Search Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Toggle open Toggle close Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Toggle open Toggle close Sub link Sub link Sub link Sub link Sub link Sub link Search Close Home Toggle Toggle Toggle Toggle Toggle Toggle Toggle Toggle,class_profile,med.emory.edu,official_school_domain,1.00,fetched,no_relevant_stats_found,needs_review,stats_not_found,,Review source manually or keep as official source missing.,2026-06-08,No class-profile MCAT/GPA values found.
md_florida_international_university_herbert_wertheim_college_of_medicine_miami_flor,Florida International University Herbert Wertheim College of Medicine,MD,https://medicine.fiu.edu/academics/degrees-and-programs/doctor-of-medicine/admissions/index.html,Admissions | Doctor of Medicine (M.D.) | FIU Herbert Wertheim College of Medicine,annual_report,medicine.fiu.edu,official_school_domain,1.00,fetched,no_relevant_stats_found,needs_review,stats_not_found,,Review source manually or keep as official source missing.,2026-06-08,No class-profile MCAT/GPA values found.
