school_id,school_name,degree_type,candidate_count,matched_candidate_count,fetched_candidate_count,accepted_extraction_count,current_canonical_has_mcat,current_canonical_has_gpa,coverage_status,next_action
do_nsu_kpcom_nova_southeastern_university_dr_kiran_c_patel_college_of_osteopathic_m,Nova Southeastern University – Dr. Kiran C. Patel College of Osteopathic Medicine,DO,0,0,0,0,no,no,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_lecom_jacksonville_lake_erie_college_of_osteopathic_medicine_jacksonville_jackso,Lake Erie College of Osteopathic Medicine – Jacksonville,DO,0,0,0,0,no,no,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_bcsom_fl_burrell_college_school_of_osteopathic_medicine_florida_melbourne_florid,"Burrell College School of Osteopathic Medicine, Florida",DO,0,0,0,0,no,no,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_lmu_dcom_orange_park_lincoln_memorial_university_debusk_college_of_osteopathic_m,Lincoln Memorial University-DeBusk College of Osteopathic Medicine – Orange Park,DO,0,0,0,0,no,no,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_pcom_south_georgia_philadelphia_college_of_osteopathic_medicine_south_georgia_mo,Philadelphia College of Osteopathic Medicine South Georgia,DO,0,0,0,0,yes,yes,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_pcom_georgia_philadelphia_college_of_osteopathic_medicine_georgia_suwanee_georgi,Philadelphia College of Osteopathic Medicine Georgia,DO,0,0,0,0,yes,yes,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_icom_idaho_college_of_osteopathic_medicine_meridian_idaho,Idaho College of Osteopathic Medicine,DO,0,0,0,0,yes,yes,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_illinoiscom_illinois_college_of_osteopathic_medicine_chicago_illinois,Illinois College of Osteopathic Medicine,DO,0,0,0,0,yes,yes,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_mwu_ccom_midwestern_university_chicago_college_of_osteopathic_medicine_downers_g,Midwestern University Chicago College of Osteopathic Medicine,DO,0,0,0,0,yes,yes,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_mu_wcom_marian_university_tom_and_julie_wood_college_of_osteopathic_medicine_ind,Marian University Tom and Julie Wood College of Osteopathic Medicine,DO,0,0,0,0,no,no,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_dmu_com_des_moines_university_college_of_osteopathic_medicine_west_des_moines_io,Des Moines University College of Osteopathic Medicine,DO,0,0,0,0,yes,yes,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_kansascom_kansas_health_sciences_center_kansas_college_of_osteopathic_medicine_w,Kansas Health Sciences Center Kansas College of Osteopathic Medicine,DO,0,0,0,0,no,no,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_up_kycom_university_of_pikeville_kentucky_college_of_osteopathic_medicine_pikevi,University of Pikeville Kentucky College of Osteopathic Medicine,DO,0,0,0,0,yes,yes,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_vcom_louisiana_edward_via_college_of_osteopathic_medicine_louisiana_campus_monro,Edward Via College of Osteopathic Medicine-Louisiana Campus,DO,0,0,0,0,yes,yes,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_unecom_university_of_new_england_college_of_osteopathic_medicine_biddeford_maine,University of New England College of Osteopathic Medicine,DO,0,0,0,0,yes,yes,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_msom_meritus_school_of_osteopathic_medicine_hagerstown_maryland,Meritus School of Osteopathic Medicine,DO,0,0,0,0,yes,yes,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_msucom_dmc_michigan_state_university_college_of_osteopathic_medicine_detroit_mic,Michigan State University College of Osteopathic Medicine,DO,0,0,0,0,yes,yes,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_msucom_michigan_state_university_college_of_osteopathic_medicine_east_lansing_mi,Michigan State University College of Osteopathic Medicine,DO,0,0,0,0,no,no,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_msucom_muc_michigan_state_university_college_of_osteopathic_medicine_macomb_mich,Michigan State University College of Osteopathic Medicine,DO,0,0,0,0,no,no,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_wcucom_william_carey_university_college_of_osteopathic_medicine_hattiesburg_miss,William Carey University College of Osteopathic Medicine,DO,0,0,0,0,yes,yes,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
do_kcu_com_joplin_kansas_city_university_of_medicine_and_biosciences_college_of_ost,Kansas City University of Medicine and Biosciences College of Osteopathic Medicine,DO,0,0,0,0,yes,yes,missing_aacom_profile_candidate,Run AACOM discovery with --fetch or provide a URL list.
