school_id,school_name,degree_type,current_mcat,current_gpa,aacom_mcat,aacom_gpa,mcat_delta,gpa_delta,current_source_name,current_source_url,aacom_source_url,conflict_status,notes
do_msucom_michigan_state_university_college_of_osteopathic_medicine_east_lansing_mi,Michigan State University College of Osteopathic Medicine,DO,,,506.7,3.75,,,,,https://www.aacom.org/detail-pages/com/michigan-state-university-college-of-osteopathic-medicine,no_current_pair,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_msucom_dmc_michigan_state_university_college_of_osteopathic_medicine_detroit_mic,Michigan State University College of Osteopathic Medicine,DO,505.5,3.61,506.7,3.75,1.2,0.14,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://www.aacom.org/detail-pages/com/msucom-in-detroit,large_delta_review,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_mwu_azcom_midwestern_university_arizona_college_of_osteopathic_medicine_glendale,Midwestern University Arizona College of Osteopathic Medicine,DO,506.5,3.62,504.1,3.62,-2.4,0,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://www.aacom.org/detail-pages/com/arizona-college-of-osteopathic-medicine,large_delta_review,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_mwu_ccom_midwestern_university_chicago_college_of_osteopathic_medicine_downers_g,Midwestern University Chicago College of Osteopathic Medicine,DO,506.5,3.62,508.8,3.66,2.3,0.04,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://www.aacom.org/detail-pages/com/chicago-college-of-osteopathic-medicine-at-midwestern-university,large_delta_review,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_nyitcom_new_york_institute_of_technology_college_of_osteopathic_medicine_old_wes,New York Institute of Technology College of Osteopathic Medicine,DO,506,3.62,504.6,3.69,-1.4,0.07,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://www.aacom.org/detail-pages/com/new-york-institute-of-technology-college-of-osteopathic-medicine,aligned_or_small_delta,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_nyitcom_jonesboro_new_york_institute_of_technology_college_of_osteopathic_medici,New York Institute of Technology College of Osteopathic Medicine at Arkansas State,DO,,,504.6,3.69,,,,,https://www.aacom.org/detail-pages/com/nyitcom-at-arkansas-state,no_current_pair,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_noordacom_noorda_college_of_osteopathic_medicine_provo_utah,Noorda College of Osteopathic Medicine,DO,503.8,3.53,501.8,3.47,-2,-0.06,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://www.aacom.org/detail-pages/com/noorda-college-of-osteopathic-medicine,aligned_or_small_delta,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_nsu_kpcom_nova_southeastern_university_dr_kiran_c_patel_college_of_osteopathic_m,Nova Southeastern University – Dr. Kiran C. Patel College of Osteopathic Medicine,DO,,,504.5,3.71,,,,,https://www.aacom.org/detail-pages/com/nova-southeastern-university-dr.-kiran-c.-patel-college-of-osteopathic-medicine,no_current_pair,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_nsu_kpcom_clearwater_nova_southeastern_university_dr_kiran_c_patel_college_of_os,Nova Southeastern University – Dr. Kiran C. Patel College of Osteopathic Medicine,DO,510.5,3.71,504.5,3.71,-6,0,Shemmassian; The Match Guy,https://thematchguy.com/average-mcat-gpa-medical-school-acceptance/; https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://www.aacom.org/detail-pages/com/nsu-kpcom-in-clearwater,large_delta_review,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_ou_hcom_ohio_university_heritage_college_of_osteopathic_medicine_athens_ohio,Ohio University Heritage College of Osteopathic Medicine,DO,,,503.5,3.68,,,,,https://www.aacom.org/detail-pages/com/ohio-university-heritage-college-of-osteopathic-medicine,no_current_pair,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_ou_hcom_cleveland_ohio_university_heritage_college_of_osteopathic_medicine_cleve,Ohio University Heritage College of Osteopathic Medicine,DO,503.5,3.68,503.5,3.68,0,0,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://www.aacom.org/detail-pages/com/ou-hcom-cleveland,aligned_or_small_delta,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_ou_hcom_dublin_ohio_university_heritage_college_of_osteopathic_medicine_dublin_d,Ohio University Heritage College of Osteopathic Medicine – Dublin,DO,,,503.5,3.68,,,,,https://www.aacom.org/detail-pages/com/ou-hcom-dublin,no_current_pair,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_osu_com_oklahoma_state_university_center_for_health_sciences_college_of_osteopat,Oklahoma State University Center for Health Sciences College of Osteopathic Medicine,DO,500,3.6,500.9,3.75,0.9,0.15,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://www.aacom.org/detail-pages/com/oklahoma-state-university-college-of-osteopathic-medicine,large_delta_review,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_ocom_orlando_college_of_osteopathic_medicine_celebration_florida,Orlando College of Osteopathic Medicine,DO,503.8,3.53,500,3.54,-3.8,0.01,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://www.aacom.org/detail-pages/com/orlando-college-of-osteopathic-medicine,large_delta_review,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_pnwu_com_pacific_northwest_university_of_health_sciences_college_of_osteopathic_,Pacific Northwest University of Health Sciences College of Osteopathic Medicine,DO,503,3.6,502.8,3.55,-0.2,-0.05,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://www.aacom.org/detail-pages/com/pacific-northwest-university-of-health-sciences-college-of-osteopathic-medicine,aligned_or_small_delta,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_pcom_philadelphia_college_of_osteopathic_medicine_philadelphia_pennsylvania,Philadelphia College of Osteopathic Medicine,DO,504,3.5,502.5,3.58,-1.5,0.08,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://www.aacom.org/detail-pages/com/philadelphia-college-of-osteopathic-medicine,aligned_or_small_delta,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_pcom_georgia_philadelphia_college_of_osteopathic_medicine_georgia_suwanee_georgi,Philadelphia College of Osteopathic Medicine Georgia,DO,504,3.5,502.5,3.58,-1.5,0.08,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://www.aacom.org/detail-pages/com/pcom-georgia,aligned_or_small_delta,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_pcom_south_georgia_philadelphia_college_of_osteopathic_medicine_south_georgia_mo,Philadelphia College of Osteopathic Medicine South Georgia,DO,503,3.71,502.5,3.58,-0.5,-0.13,CycleTrack Explorer acceptance medians,https://cycletrack.org/explorer/school/Philadelphia COM - South Georgia,https://www.aacom.org/detail-pages/com/pcom-south-georgia,large_delta_review,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
do_rvucom_rocky_vista_university_college_of_osteopathic_medicine_parker_colorado,Rocky Vista University College of Osteopathic Medicine,DO,506,3.61,504.4,3.61,-1.6,0,Shemmassian,https://www.shemmassianconsulting.com/blog/average-gpa-and-mcat-score-for-every-medical-school,https://www.aacom.org/detail-pages/com/rocky-vista-university-college-of-osteopathic-medicine,aligned_or_small_delta,Accepted AACOM profile extraction compared to current non-AACOM canonical admissions_stats row.
