source_table,source_row_number,source_school_name,source_state,school_id,school_name,match_score,second_match_score,review_reason,recommended_action,notes
school_master.csv,,,IL,do_illinoiscom_illinois_college_of_osteopathic_medicine_chicago_illinois,Illinois College of Osteopathic Medicine,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,PA,do_iupcom_indiana_university_of_pennsylvania_college_of_osteopathic_medicine_indian,Indiana University of Pennsylvania College of Osteopathic Medicine,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,MO,do_kcu_com_joplin_kansas_city_university_of_medicine_and_biosciences_college_of_ost,Kansas City University of Medicine and Biosciences College of Osteopathic Medicine,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,MO,do_kcu_com_kansas_city_university_of_medicine_and_biosciences_college_of_osteopathi,Kansas City University of Medicine and Biosciences College of Osteopathic Medicine,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,KS,do_kansascom_kansas_health_sciences_center_kansas_college_of_osteopathic_medicine_w,Kansas Health Sciences Center Kansas College of Osteopathic Medicine,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,FL,do_lecom_bradenton_lake_erie_college_of_osteopathic_medicine_bradenton_bradenton_fl,Lake Erie College of Osteopathic Medicine – Bradenton,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,NY,do_lecom_elmira_lake_erie_college_of_osteopathic_medicine_elmira_elmira_new_york,Lake Erie College of Osteopathic Medicine – Elmira,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,PA,do_lecom_lake_erie_college_of_osteopathic_medicine_erie_erie_pennsylvania,Lake Erie College of Osteopathic Medicine – Erie,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,FL,do_lecom_jacksonville_lake_erie_college_of_osteopathic_medicine_jacksonville_jackso,Lake Erie College of Osteopathic Medicine – Jacksonville,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,PA,do_lecom_seton_hill_lake_erie_college_of_osteopathic_medicine_seton_hill_greensburg,Lake Erie College of Osteopathic Medicine – Seton Hill,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,VA,do_lucom_liberty_university_college_of_osteopathic_medicine_lynchburg_virginia,Liberty University College of Osteopathic Medicine,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,TN,do_lmu_dcom_lincoln_memorial_university_debusk_college_of_osteopathic_medicine_harr,Lincoln Memorial University-DeBusk College of Osteopathic Medicine,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,TN,do_lmu_dcom_knoxville_lincoln_memorial_university_debusk_college_of_osteopathic_med,Lincoln Memorial University-DeBusk College of Osteopathic Medicine – Knoxville,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,FL,do_lmu_dcom_orange_park_lincoln_memorial_university_debusk_college_of_osteopathic_m,Lincoln Memorial University-DeBusk College of Osteopathic Medicine – Orange Park,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,IN,do_mu_wcom_marian_university_tom_and_julie_wood_college_of_osteopathic_medicine_ind,Marian University Tom and Julie Wood College of Osteopathic Medicine,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,MD,do_msom_meritus_school_of_osteopathic_medicine_hagerstown_maryland,Meritus School of Osteopathic Medicine,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,MI,do_msucom_dmc_michigan_state_university_college_of_osteopathic_medicine_detroit_mic,Michigan State University College of Osteopathic Medicine,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,MI,do_msucom_michigan_state_university_college_of_osteopathic_medicine_east_lansing_mi,Michigan State University College of Osteopathic Medicine,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,MI,do_msucom_muc_michigan_state_university_college_of_osteopathic_medicine_macomb_mich,Michigan State University College of Osteopathic Medicine,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,AZ,do_mwu_azcom_midwestern_university_arizona_college_of_osteopathic_medicine_glendale,Midwestern University Arizona College of Osteopathic Medicine,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,IL,do_mwu_ccom_midwestern_university_chicago_college_of_osteopathic_medicine_downers_g,Midwestern University Chicago College of Osteopathic Medicine,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,NY,do_nyitcom_new_york_institute_of_technology_college_of_osteopathic_medicine_old_wes,New York Institute of Technology College of Osteopathic Medicine,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,AR,do_nyitcom_jonesboro_new_york_institute_of_technology_college_of_osteopathic_medici,New York Institute of Technology College of Osteopathic Medicine at Arkansas State,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,UT,do_noordacom_noorda_college_of_osteopathic_medicine_provo_utah,Noorda College of Osteopathic Medicine,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,FL,do_nsu_kpcom_clearwater_nova_southeastern_university_dr_kiran_c_patel_college_of_os,Nova Southeastern University – Dr. Kiran C. Patel College of Osteopathic Medicine,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,FL,do_nsu_kpcom_nova_southeastern_university_dr_kiran_c_patel_college_of_osteopathic_m,Nova Southeastern University – Dr. Kiran C. Patel College of Osteopathic Medicine,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,OH,do_ou_hcom_ohio_university_heritage_college_of_osteopathic_medicine_athens_ohio,Ohio University Heritage College of Osteopathic Medicine,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,OH,do_ou_hcom_cleveland_ohio_university_heritage_college_of_osteopathic_medicine_cleve,Ohio University Heritage College of Osteopathic Medicine,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,OH,do_ou_hcom_dublin_ohio_university_heritage_college_of_osteopathic_medicine_dublin_d,Ohio University Heritage College of Osteopathic Medicine – Dublin,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,OK,do_osu_com_oklahoma_state_university_center_for_health_sciences_college_of_osteopat,Oklahoma State University Center for Health Sciences College of Osteopathic Medicine,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,OK,do_osu_com_tahlequah_oklahoma_state_university_center_for_health_sciences_college_o,Oklahoma State University Center for Health Sciences College of Osteopathic Medicine Tahlequah,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
