source_table,source_row_number,source_school_name,source_state,school_id,school_name,match_score,second_match_score,review_reason,recommended_action,notes
school_master.csv,,,TX,do_uiwsom_university_of_the_incarnate_word_school_of_osteopathic_medicine_san_anton,University of the Incarnate Word School of Osteopathic Medicine,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,WV,do_wvsom_west_virginia_school_of_osteopathic_medicine_lewisburg_west_virginia,West Virginia School of Osteopathic Medicine,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,CA,do_westernu_comp_western_university_of_health_sciences_college_of_osteopathic_medic,Western University of Health Sciences College of Osteopathic Medicine of the Pacific,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,OR,do_westernu_comp_northwest_western_university_of_health_sciences_college_of_osteopa,Western University of Health Sciences College of Osteopathic Medicine of the Pacific-Northwest,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
school_master.csv,,,MS,do_wcucom_william_carey_university_college_of_osteopathic_medicine_hattiesburg_miss,William Carey University College of Osteopathic Medicine,,,do_missing_safe_cost_row,find or confirm cost source,No canonical AAMC cost row is currently safe for this active school.
aamc_msar_tuition_school_master_join_candidates.csv,125,Ponce Health Sciences University School of Medicine,PR,,,0,,join_row_not_safe_for_patch,review if school should enter canonical cost table,no master row with matching state_abbrev
aamc_msar_tuition_school_master_join_candidates.csv,126,San Juan Bautista School of Medicine,PR,,,0,,join_row_not_safe_for_patch,review if school should enter canonical cost table,no master row with matching state_abbrev
aamc_msar_tuition_school_master_join_candidates.csv,127,Universidad Central del Caribe School of Medicine,PR,,,0,,join_row_not_safe_for_patch,review if school should enter canonical cost table,no master row with matching state_abbrev
aamc_msar_tuition_school_master_join_candidates.csv,128,University of Puerto Rico School of Medicine,PR,,,0,,join_row_not_safe_for_patch,review if school should enter canonical cost table,no master row with matching state_abbrev
aamc_msar_tuition_school_master_join_candidates.csv,164,University of British Columbia Faculty of Medicine,BC,,,0,,join_row_not_safe_for_patch,review if school should enter canonical cost table,in-state total cost of attendance is zero but tuition and fees is populated; out-of-state total cost of attendance is zero but tuition and fees is populated; Canadian/province row; no U.S. master row expected
aamc_msar_tuition_school_master_join_candidates.csv,165,"Max Rady College of Medicine, Rady Faculty of Health Sciences, University of Manitoba",MB,,,0,,join_row_not_safe_for_patch,review if school should enter canonical cost table,out-of-state reported cost fields are zero; in-state total cost of attendance is zero but tuition and fees is populated; Canadian/province row; no U.S. master row expected
aamc_msar_tuition_school_master_join_candidates.csv,166,Memorial University of Newfoundland Faculty of Medicine,NL,,,0,,join_row_not_safe_for_patch,review if school should enter canonical cost table,in-state total cost of attendance is zero but tuition and fees is populated; out-of-state total cost of attendance is zero but tuition and fees is populated; Canadian/province row; no U.S. master row expected
aamc_msar_tuition_school_master_join_candidates.csv,167,Dalhousie University Faculty of Medicine,NS,,,0,,join_row_not_safe_for_patch,review if school should enter canonical cost table,out-of-state reported cost fields are zero; in-state total cost of attendance is zero but tuition and fees is populated; Canadian/province row; no U.S. master row expected
aamc_msar_tuition_school_master_join_candidates.csv,168,McMaster University Michael G. DeGroote School of Medicine,ON,,,0,,join_row_not_safe_for_patch,review if school should enter canonical cost table,out-of-state reported cost fields are zero; in-state total cost of attendance is zero but tuition and fees is populated; Canadian/province row; no U.S. master row expected
aamc_msar_tuition_school_master_join_candidates.csv,169,Northern Ontario School of Medicine,ON,,,0,,join_row_not_safe_for_patch,review if school should enter canonical cost table,in-state total cost of attendance is zero but tuition and fees is populated; out-of-state total cost of attendance is zero but tuition and fees is populated; Canadian/province row; no U.S. master row expected
aamc_msar_tuition_school_master_join_candidates.csv,170,Queen's University Faculty of Health Sciences,ON,,,0,,join_row_not_safe_for_patch,review if school should enter canonical cost table,in-state total cost of attendance is zero but tuition and fees is populated; out-of-state total cost of attendance is zero but tuition and fees is populated; Canadian/province row; no U.S. master row expected
aamc_msar_tuition_school_master_join_candidates.csv,171,The University of Western Ontario - Schulich School of Medicine & Dentistry,ON,,,0,,join_row_not_safe_for_patch,review if school should enter canonical cost table,out-of-state reported cost fields are zero; in-state total cost of attendance is zero but tuition and fees is populated; Canadian/province row; no U.S. master row expected
aamc_msar_tuition_school_master_join_candidates.csv,172,Toronto Metropolitan University School of Medicine,ON,,,0,,join_row_not_safe_for_patch,review if school should enter canonical cost table,in-state total cost of attendance is zero but tuition and fees is populated; out-of-state total cost of attendance is zero but tuition and fees is populated; Canadian/province row; no U.S. master row expected
aamc_msar_tuition_school_master_join_candidates.csv,173,University of Ottawa Faculty of Medicine,ON,,,0,,join_row_not_safe_for_patch,review if school should enter canonical cost table,in-state total cost of attendance is zero but tuition and fees is populated; out-of-state total cost of attendance is zero but tuition and fees is populated; Canadian/province row; no U.S. master row expected
aamc_msar_tuition_school_master_join_candidates.csv,174,University of Toronto Temerty Faculty of Medicine,ON,,,0,,join_row_not_safe_for_patch,review if school should enter canonical cost table,in-state total cost of attendance is zero but tuition and fees is populated; out-of-state total cost of attendance is zero but tuition and fees is populated; Canadian/province row; no U.S. master row expected
aamc_msar_tuition_school_master_join_candidates.csv,175,Universite de Montreal Faculty of Medicine,QC,,,0,,join_row_not_safe_for_patch,review if school should enter canonical cost table,in-state total cost of attendance is zero but tuition and fees is populated; out-of-state total cost of attendance is zero but tuition and fees is populated; Canadian/province row; no U.S. master row expected
