review_id,review_status,review_reason,source_table,source_row_number,source_school_name,source_state,source_degree_type,school_id,school_name,match_score,second_match_score,recommended_action,created_date,resolved_date,resolution_notes
aamc_msar_admission_policies_csv_141_mcgovern_medical_school_at_the_university_of_texas_health_science_center_at_houston_below_safe_threshold,open,below_safe_threshold,aamc_msar_admission_policies.csv,141,McGovern Medical School at the University of Texas Health Science Center at Houston,TX,MD,md_texas_tech_university_health_sciences_center_school_of_medicine_lubbock_texas,Texas Tech University Health Sciences Center School of Medicine,0.785,0.727,review source match,2026-06-05,,
aamc_msar_admission_policies_csv_142_texas_a_m_university_school_of_medicine_below_safe_threshold,open,below_safe_threshold,aamc_msar_admission_policies.csv,142,Texas A&M University School of Medicine,TX,MD,md_the_university_of_texas_at_tyler_school_of_medicine_tyler_texas,The University of Texas at Tyler School of Medicine,0.865,0.81,review source match,2026-06-05,,
aamc_msar_admission_policies_csv_146_the_university_of_texas_health_science_center_at_san_antonio_joe_r_and_teresa_lozano_long_school_of_medicine_below_safe_threshold,open,below_safe_threshold,aamc_msar_admission_policies.csv,146,The University of Texas Health Science Center at San Antonio Joe R. and Teresa Lozano Long School of Medicine,TX,MD,md_the_university_of_texas_at_san_antonio_joe_r_and_teresa_lozano_long_school_of_me,The University of Texas at San Antonio Joe R. and Teresa Lozano Long School of Medicine,0.863,0.755,review source match,2026-06-05,,
aamc_msar_admission_policies_csv_153_eastern_virginia_medical_school_low_match_score,open,low_match_score,aamc_msar_admission_policies.csv,153,Eastern Virginia Medical School,VA,MD,md_virginia_tech_carilion_school_of_medicine_roanoke_virginia,Virginia Tech Carilion School of Medicine,0.725,0.721,review source match,2026-06-05,,
aamc_msar_admission_policies_csv_164_university_of_british_columbia_faculty_of_medicine_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_admission_policies.csv,164,University of British Columbia Faculty of Medicine,BC,MD,,,0,0,review source match,2026-06-05,,
aamc_msar_admission_policies_csv_165_max_rady_college_of_medicine_rady_faculty_of_health_sciences_university_of_manitoba_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_admission_policies.csv,165,"Max Rady College of Medicine, Rady Faculty of Health Sciences, University of Manitoba",MB,MD,,,0,0,review source match,2026-06-05,,
aamc_msar_admission_policies_csv_166_memorial_university_of_newfoundland_faculty_of_medicine_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_admission_policies.csv,166,Memorial University of Newfoundland Faculty of Medicine,NL,MD,,,0,0,review source match,2026-06-05,,
aamc_msar_admission_policies_csv_167_dalhousie_university_faculty_of_medicine_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_admission_policies.csv,167,Dalhousie University Faculty of Medicine,NS,MD,,,0,0,review source match,2026-06-05,,
aamc_msar_admission_policies_csv_168_mcmaster_university_michael_g_degroote_school_of_medicine_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_admission_policies.csv,168,McMaster University Michael G. DeGroote School of Medicine,ON,MD,,,0,0,review source match,2026-06-05,,
aamc_msar_admission_policies_csv_169_northern_ontario_school_of_medicine_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_admission_policies.csv,169,Northern Ontario School of Medicine,ON,MD,,,0,0,review source match,2026-06-05,,
aamc_msar_admission_policies_csv_170_queen_s_university_faculty_of_health_sciences_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_admission_policies.csv,170,Queen's University Faculty of Health Sciences,ON,MD,,,0,0,review source match,2026-06-05,,
aamc_msar_admission_policies_csv_171_the_university_of_western_ontario_schulich_school_of_medicine_dentistry_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_admission_policies.csv,171,The University of Western Ontario - Schulich School of Medicine & Dentistry,ON,MD,,,0,0,review source match,2026-06-05,,
aamc_msar_admission_policies_csv_173_university_of_ottawa_faculty_of_medicine_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_admission_policies.csv,173,University of Ottawa Faculty of Medicine,ON,MD,,,0,0,review source match,2026-06-05,,
aamc_msar_admission_policies_csv_174_university_of_toronto_temerty_faculty_of_medicine_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_admission_policies.csv,174,University of Toronto Temerty Faculty of Medicine,ON,MD,,,0,0,review source match,2026-06-05,,
aamc_msar_admission_policies_csv_175_universite_de_montreal_faculty_of_medicine_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_admission_policies.csv,175,Universite de Montreal Faculty of Medicine,QC,MD,,,0,0,review source match,2026-06-05,,
aamc_msar_admission_policies_csv_176_university_of_saskatchewan_college_of_medicine_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_admission_policies.csv,176,University of Saskatchewan College of Medicine,SK,MD,,,0,0,review source match,2026-06-05,,
aamc_msar_admission_policies_csv_17_university_of_california_los_angeles_david_geffen_school_of_medicine_ambiguous_match_gap,open,ambiguous_match_gap,aamc_msar_admission_policies.csv,17,"University of California, Los Angeles David Geffen School of Medicine",CA,MD,md_university_of_california_san_diego_school_of_medicine_san_diego_california,"University of California, San Diego School of Medicine",0.826,0.819,review source match,2026-06-05,,
aamc_msar_admission_policies_csv_55_louisiana_state_university_school_of_medicine_in_new_orleans_below_safe_threshold,open,below_safe_threshold,aamc_msar_admission_policies.csv,55,Louisiana State University School of Medicine in New Orleans,LA,MD,md_louisiana_state_university_school_of_medicine_in_shreveport_shreveport_louisiana,Louisiana State University School of Medicine in Shreveport,0.867,0.689,review source match,2026-06-05,,
aamc_msar_admission_policies_csv_5_arizona_state_university_school_of_medicine_and_advanced_medical_engineering_somme__below_safe_threshold,open,below_safe_threshold,aamc_msar_admission_policies.csv,5,Arizona State University School of Medicine and Advanced Medical Engineering (SOMME),AZ,MD,md_arizona_state_university_john_shufeldt_school_of_medicine_and_medical_engineerin,Arizona State University John Shufeldt School of Medicine and Medical Engineering,0.846,0.598,review source match,2026-06-05,,
aamc_msar_admission_policies_csv_65_central_michigan_university_college_of_medicine_below_safe_threshold,open,below_safe_threshold,aamc_msar_admission_policies.csv,65,Central Michigan University College of Medicine,MI,MD,md_covenant_healthcare_college_of_medicine_at_central_michigan_university_mount_ple,Covenant HealthCare College of Medicine at Central Michigan University,0.815,0.783,review source match,2026-06-05,,
aamc_msar_admission_policies_csv_6_university_of_arizona_college_of_medicine_ambiguous_match_gap,open,ambiguous_match_gap,aamc_msar_admission_policies.csv,6,University of Arizona College of Medicine,AZ,MD,md_university_of_arizona_college_of_medicine_tucson_tucson_arizona,University of Arizona College of Medicine - Tucson,0.909,0.897,review source match,2026-06-05,,
aamc_msar_admission_policies_csv_81_university_of_north_carolina_at_chapel_hill_school_of_medicine_below_safe_threshold,open,below_safe_threshold,aamc_msar_admission_policies.csv,81,University of North Carolina at Chapel Hill School of Medicine,NC,MD,md_university_of_north_carolina_school_of_medicine_chapel_hill_north_carolina,University of North Carolina School of Medicine,0.872,0.747,review source match,2026-06-05,,
aamc_msar_applications_accepted_csv_111_northeast_ohio_medical_university_below_safe_threshold,open,below_safe_threshold,aamc_msar_applications_accepted.csv,111,Northeast Ohio Medical University,OH,MD,md_northeast_ohio_medical_university_college_of_medicine_rootstown_ohio,Northeast Ohio Medical University College of Medicine,0.795,0.648,review source match,2026-06-05,,
aamc_msar_applications_accepted_csv_121_pennsylvania_state_university_college_of_medicine_ambiguous_match_gap,open,ambiguous_match_gap,aamc_msar_applications_accepted.csv,121,Pennsylvania State University College of Medicine,PA,MD,md_drexel_university_college_of_medicine_philadelphia_pennsylvania,Drexel University College of Medicine,0.75,0.74,review source match,2026-06-05,,
aamc_msar_applications_accepted_csv_122_perelman_school_of_medicine_at_the_university_of_pennsylvania_below_safe_threshold,open,below_safe_threshold,aamc_msar_applications_accepted.csv,122,Perelman School of Medicine at the University of Pennsylvania,PA,MD,md_raymond_and_ruth_perelman_school_of_medicine_at_the_university_of_pennsylvania_p,Raymond and Ruth Perelman School of Medicine at the University of Pennsylvania,0.881,0.706,review source match,2026-06-05,,
aamc_msar_applications_accepted_csv_125_ponce_health_sciences_university_school_of_medicine_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_applications_accepted.csv,125,Ponce Health Sciences University School of Medicine,PR,MD,,,0,0,review source match,2026-06-05,,
aamc_msar_applications_accepted_csv_126_san_juan_bautista_school_of_medicine_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_applications_accepted.csv,126,San Juan Bautista School of Medicine,PR,MD,,,0,0,review source match,2026-06-05,,
aamc_msar_applications_accepted_csv_127_universidad_central_del_caribe_school_of_medicine_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_applications_accepted.csv,127,Universidad Central del Caribe School of Medicine,PR,MD,,,0,0,review source match,2026-06-05,,
aamc_msar_applications_accepted_csv_128_university_of_puerto_rico_school_of_medicine_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_applications_accepted.csv,128,University of Puerto Rico School of Medicine,PR,MD,,,0,0,review source match,2026-06-05,,
aamc_msar_applications_accepted_csv_131_university_of_south_carolina_school_of_medicine_columbia_ambiguous_match_gap,open,ambiguous_match_gap,aamc_msar_applications_accepted.csv,131,University of South Carolina School of Medicine Columbia,SC,MD,md_university_of_south_carolina_school_of_medicine_greenville_greenville_south_caro,"University of South Carolina School of Medicine, Greenville",0.843,0.82,review source match,2026-06-05,,
aamc_msar_applications_accepted_csv_135_meharry_medical_college_low_match_score,open,low_match_score,aamc_msar_applications_accepted.csv,135,Meharry Medical College,TN,MD,md_meharry_medical_college_school_of_medicine_nashville_tennessee,Meharry Medical College School of Medicine,0.742,0.474,review source match,2026-06-05,,
aamc_msar_applications_accepted_csv_139_anne_burnett_marion_school_of_medicine_at_tcu_below_safe_threshold,open,below_safe_threshold,aamc_msar_applications_accepted.csv,139,Anne Burnett Marion School of Medicine at TCU,TX,MD,md_anne_burnett_marion_school_of_medicine_at_texas_christian_university_fort_worth_,Anne Burnett Marion School of Medicine at Texas Christian University,0.772,0.551,review source match,2026-06-05,,
aamc_msar_applications_accepted_csv_140_baylor_college_of_medicine_below_safe_threshold,open,below_safe_threshold,aamc_msar_applications_accepted.csv,140,Baylor College of Medicine,TX,MD,md_baylor_college_of_medicine_school_of_medicine_houston_texas,Baylor College of Medicine School of Medicine,0.868,0.557,review source match,2026-06-05,,
aamc_msar_applications_accepted_csv_141_mcgovern_medical_school_at_the_university_of_texas_health_science_center_at_houston_below_safe_threshold,open,below_safe_threshold,aamc_msar_applications_accepted.csv,141,McGovern Medical School at the University of Texas Health Science Center at Houston,TX,MD,md_texas_tech_university_health_sciences_center_school_of_medicine_lubbock_texas,Texas Tech University Health Sciences Center School of Medicine,0.785,0.727,review source match,2026-06-05,,
aamc_msar_applications_accepted_csv_142_texas_a_m_university_school_of_medicine_below_safe_threshold,open,below_safe_threshold,aamc_msar_applications_accepted.csv,142,Texas A&M University School of Medicine,TX,MD,md_the_university_of_texas_at_tyler_school_of_medicine_tyler_texas,The University of Texas at Tyler School of Medicine,0.865,0.81,review source match,2026-06-05,,
aamc_msar_applications_accepted_csv_146_the_university_of_texas_health_science_center_at_san_antonio_joe_r_and_teresa_lozano_long_school_of_medicine_below_safe_threshold,open,below_safe_threshold,aamc_msar_applications_accepted.csv,146,The University of Texas Health Science Center at San Antonio Joe R. and Teresa Lozano Long School of Medicine,TX,MD,md_the_university_of_texas_at_san_antonio_joe_r_and_teresa_lozano_long_school_of_me,The University of Texas at San Antonio Joe R. and Teresa Lozano Long School of Medicine,0.863,0.755,review source match,2026-06-05,,
aamc_msar_applications_accepted_csv_153_eastern_virginia_medical_school_low_match_score,open,low_match_score,aamc_msar_applications_accepted.csv,153,Eastern Virginia Medical School,VA,MD,md_virginia_tech_carilion_school_of_medicine_roanoke_virginia,Virginia Tech Carilion School of Medicine,0.725,0.721,review source match,2026-06-05,,
aamc_msar_applications_accepted_csv_164_university_of_british_columbia_faculty_of_medicine_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_applications_accepted.csv,164,University of British Columbia Faculty of Medicine,BC,MD,,,0,0,review source match,2026-06-05,,
aamc_msar_applications_accepted_csv_165_max_rady_college_of_medicine_rady_faculty_of_health_sciences_university_of_manitoba_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_applications_accepted.csv,165,"Max Rady College of Medicine, Rady Faculty of Health Sciences, University of Manitoba",MB,MD,,,0,0,review source match,2026-06-05,,
aamc_msar_applications_accepted_csv_166_memorial_university_of_newfoundland_faculty_of_medicine_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_applications_accepted.csv,166,Memorial University of Newfoundland Faculty of Medicine,NL,MD,,,0,0,review source match,2026-06-05,,
aamc_msar_applications_accepted_csv_167_dalhousie_university_faculty_of_medicine_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_applications_accepted.csv,167,Dalhousie University Faculty of Medicine,NS,MD,,,0,0,review source match,2026-06-05,,
aamc_msar_applications_accepted_csv_168_mcmaster_university_michael_g_degroote_school_of_medicine_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_applications_accepted.csv,168,McMaster University Michael G. DeGroote School of Medicine,ON,MD,,,0,0,review source match,2026-06-05,,
aamc_msar_applications_accepted_csv_169_northern_ontario_school_of_medicine_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_applications_accepted.csv,169,Northern Ontario School of Medicine,ON,MD,,,0,0,review source match,2026-06-05,,
aamc_msar_applications_accepted_csv_170_queen_s_university_faculty_of_health_sciences_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_applications_accepted.csv,170,Queen's University Faculty of Health Sciences,ON,MD,,,0,0,review source match,2026-06-05,,
aamc_msar_applications_accepted_csv_171_the_university_of_western_ontario_schulich_school_of_medicine_dentistry_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_applications_accepted.csv,171,The University of Western Ontario - Schulich School of Medicine & Dentistry,ON,MD,,,0,0,review source match,2026-06-05,,
aamc_msar_applications_accepted_csv_172_toronto_metropolitan_university_school_of_medicine_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_applications_accepted.csv,172,Toronto Metropolitan University School of Medicine,ON,MD,,,0,0,review source match,2026-06-05,,
aamc_msar_applications_accepted_csv_173_university_of_ottawa_faculty_of_medicine_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_applications_accepted.csv,173,University of Ottawa Faculty of Medicine,ON,MD,,,0,0,review source match,2026-06-05,,
aamc_msar_applications_accepted_csv_174_university_of_toronto_temerty_faculty_of_medicine_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_applications_accepted.csv,174,University of Toronto Temerty Faculty of Medicine,ON,MD,,,0,0,review source match,2026-06-05,,
aamc_msar_applications_accepted_csv_175_universite_de_montreal_faculty_of_medicine_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_applications_accepted.csv,175,Universite de Montreal Faculty of Medicine,QC,MD,,,0,0,review source match,2026-06-05,,
aamc_msar_applications_accepted_csv_176_university_of_saskatchewan_college_of_medicine_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_applications_accepted.csv,176,University of Saskatchewan College of Medicine,SK,MD,,,0,0,review source match,2026-06-05,,
aamc_msar_applications_accepted_csv_17_university_of_california_los_angeles_david_geffen_school_of_medicine_ambiguous_match_gap,open,ambiguous_match_gap,aamc_msar_applications_accepted.csv,17,"University of California, Los Angeles David Geffen School of Medicine",CA,MD,md_university_of_california_san_diego_school_of_medicine_san_diego_california,"University of California, San Diego School of Medicine",0.826,0.819,review source match,2026-06-05,,
aamc_msar_applications_accepted_csv_55_louisiana_state_university_school_of_medicine_in_new_orleans_below_safe_threshold,open,below_safe_threshold,aamc_msar_applications_accepted.csv,55,Louisiana State University School of Medicine in New Orleans,LA,MD,md_louisiana_state_university_school_of_medicine_in_shreveport_shreveport_louisiana,Louisiana State University School of Medicine in Shreveport,0.867,0.689,review source match,2026-06-05,,
aamc_msar_applications_accepted_csv_5_arizona_state_university_school_of_medicine_and_advanced_medical_engineering_somme__below_safe_threshold,open,below_safe_threshold,aamc_msar_applications_accepted.csv,5,Arizona State University School of Medicine and Advanced Medical Engineering (SOMME),AZ,MD,md_arizona_state_university_john_shufeldt_school_of_medicine_and_medical_engineerin,Arizona State University John Shufeldt School of Medicine and Medical Engineering,0.846,0.598,review source match,2026-06-05,,
aamc_msar_applications_accepted_csv_65_central_michigan_university_college_of_medicine_below_safe_threshold,open,below_safe_threshold,aamc_msar_applications_accepted.csv,65,Central Michigan University College of Medicine,MI,MD,md_covenant_healthcare_college_of_medicine_at_central_michigan_university_mount_ple,Covenant HealthCare College of Medicine at Central Michigan University,0.815,0.783,review source match,2026-06-05,,
aamc_msar_applications_accepted_csv_6_university_of_arizona_college_of_medicine_ambiguous_match_gap,open,ambiguous_match_gap,aamc_msar_applications_accepted.csv,6,University of Arizona College of Medicine,AZ,MD,md_university_of_arizona_college_of_medicine_tucson_tucson_arizona,University of Arizona College of Medicine - Tucson,0.909,0.897,review source match,2026-06-05,,
aamc_msar_applications_accepted_csv_81_university_of_north_carolina_at_chapel_hill_school_of_medicine_below_safe_threshold,open,below_safe_threshold,aamc_msar_applications_accepted.csv,81,University of North Carolina at Chapel Hill School of Medicine,NC,MD,md_university_of_north_carolina_school_of_medicine_chapel_hill_north_carolina,University of North Carolina School of Medicine,0.872,0.747,review source match,2026-06-05,,
aamc_msar_community_college_coursework_csv_111_northeast_ohio_medical_university_below_safe_threshold,open,below_safe_threshold,aamc_msar_community_college_coursework.csv,111,Northeast Ohio Medical University,OH,MD,md_northeast_ohio_medical_university_college_of_medicine_rootstown_ohio,Northeast Ohio Medical University College of Medicine,0.795,0.648,review source match,2026-06-05,,
aamc_msar_community_college_coursework_csv_121_pennsylvania_state_university_college_of_medicine_ambiguous_match_gap,open,ambiguous_match_gap,aamc_msar_community_college_coursework.csv,121,Pennsylvania State University College of Medicine,PA,MD,md_drexel_university_college_of_medicine_philadelphia_pennsylvania,Drexel University College of Medicine,0.75,0.74,review source match,2026-06-05,,
aamc_msar_community_college_coursework_csv_122_perelman_school_of_medicine_at_the_university_of_pennsylvania_below_safe_threshold,open,below_safe_threshold,aamc_msar_community_college_coursework.csv,122,Perelman School of Medicine at the University of Pennsylvania,PA,MD,md_raymond_and_ruth_perelman_school_of_medicine_at_the_university_of_pennsylvania_p,Raymond and Ruth Perelman School of Medicine at the University of Pennsylvania,0.881,0.706,review source match,2026-06-05,,
aamc_msar_community_college_coursework_csv_125_ponce_health_sciences_university_school_of_medicine_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_community_college_coursework.csv,125,Ponce Health Sciences University School of Medicine,PR,MD,,,0,0,review source match,2026-06-05,,
aamc_msar_community_college_coursework_csv_126_san_juan_bautista_school_of_medicine_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_community_college_coursework.csv,126,San Juan Bautista School of Medicine,PR,MD,,,0,0,review source match,2026-06-05,,
aamc_msar_community_college_coursework_csv_127_universidad_central_del_caribe_school_of_medicine_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_community_college_coursework.csv,127,Universidad Central del Caribe School of Medicine,PR,MD,,,0,0,review source match,2026-06-05,,
aamc_msar_community_college_coursework_csv_128_university_of_puerto_rico_school_of_medicine_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_community_college_coursework.csv,128,University of Puerto Rico School of Medicine,PR,MD,,,0,0,review source match,2026-06-05,,
aamc_msar_community_college_coursework_csv_131_university_of_south_carolina_school_of_medicine_columbia_ambiguous_match_gap,open,ambiguous_match_gap,aamc_msar_community_college_coursework.csv,131,University of South Carolina School of Medicine Columbia,SC,MD,md_university_of_south_carolina_school_of_medicine_greenville_greenville_south_caro,"University of South Carolina School of Medicine, Greenville",0.843,0.82,review source match,2026-06-05,,
aamc_msar_community_college_coursework_csv_135_meharry_medical_college_low_match_score,open,low_match_score,aamc_msar_community_college_coursework.csv,135,Meharry Medical College,TN,MD,md_meharry_medical_college_school_of_medicine_nashville_tennessee,Meharry Medical College School of Medicine,0.742,0.474,review source match,2026-06-05,,
aamc_msar_community_college_coursework_csv_139_anne_burnett_marion_school_of_medicine_at_tcu_below_safe_threshold,open,below_safe_threshold,aamc_msar_community_college_coursework.csv,139,Anne Burnett Marion School of Medicine at TCU,TX,MD,md_anne_burnett_marion_school_of_medicine_at_texas_christian_university_fort_worth_,Anne Burnett Marion School of Medicine at Texas Christian University,0.772,0.551,review source match,2026-06-05,,
aamc_msar_community_college_coursework_csv_140_baylor_college_of_medicine_below_safe_threshold,open,below_safe_threshold,aamc_msar_community_college_coursework.csv,140,Baylor College of Medicine,TX,MD,md_baylor_college_of_medicine_school_of_medicine_houston_texas,Baylor College of Medicine School of Medicine,0.868,0.557,review source match,2026-06-05,,
aamc_msar_community_college_coursework_csv_141_mcgovern_medical_school_at_the_university_of_texas_health_science_center_at_houston_below_safe_threshold,open,below_safe_threshold,aamc_msar_community_college_coursework.csv,141,McGovern Medical School at the University of Texas Health Science Center at Houston,TX,MD,md_texas_tech_university_health_sciences_center_school_of_medicine_lubbock_texas,Texas Tech University Health Sciences Center School of Medicine,0.785,0.727,review source match,2026-06-05,,
aamc_msar_community_college_coursework_csv_142_texas_a_m_university_school_of_medicine_below_safe_threshold,open,below_safe_threshold,aamc_msar_community_college_coursework.csv,142,Texas A&M University School of Medicine,TX,MD,md_the_university_of_texas_at_tyler_school_of_medicine_tyler_texas,The University of Texas at Tyler School of Medicine,0.865,0.81,review source match,2026-06-05,,
aamc_msar_community_college_coursework_csv_146_the_university_of_texas_health_science_center_at_san_antonio_joe_r_and_teresa_lozano_long_school_of_medicine_below_safe_threshold,open,below_safe_threshold,aamc_msar_community_college_coursework.csv,146,The University of Texas Health Science Center at San Antonio Joe R. and Teresa Lozano Long School of Medicine,TX,MD,md_the_university_of_texas_at_san_antonio_joe_r_and_teresa_lozano_long_school_of_me,The University of Texas at San Antonio Joe R. and Teresa Lozano Long School of Medicine,0.863,0.755,review source match,2026-06-05,,
aamc_msar_community_college_coursework_csv_153_eastern_virginia_medical_school_low_match_score,open,low_match_score,aamc_msar_community_college_coursework.csv,153,Eastern Virginia Medical School,VA,MD,md_virginia_tech_carilion_school_of_medicine_roanoke_virginia,Virginia Tech Carilion School of Medicine,0.725,0.721,review source match,2026-06-05,,
aamc_msar_community_college_coursework_csv_164_university_of_british_columbia_faculty_of_medicine_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_community_college_coursework.csv,164,University of British Columbia Faculty of Medicine,BC,MD,,,0,0,review source match,2026-06-05,,
aamc_msar_community_college_coursework_csv_165_max_rady_college_of_medicine_rady_faculty_of_health_sciences_university_of_manitoba_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_community_college_coursework.csv,165,"Max Rady College of Medicine, Rady Faculty of Health Sciences, University of Manitoba",MB,MD,,,0,0,review source match,2026-06-05,,
aamc_msar_community_college_coursework_csv_166_memorial_university_of_newfoundland_faculty_of_medicine_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_community_college_coursework.csv,166,Memorial University of Newfoundland Faculty of Medicine,NL,MD,,,0,0,review source match,2026-06-05,,
aamc_msar_community_college_coursework_csv_167_dalhousie_university_faculty_of_medicine_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_community_college_coursework.csv,167,Dalhousie University Faculty of Medicine,NS,MD,,,0,0,review source match,2026-06-05,,
aamc_msar_community_college_coursework_csv_168_mcmaster_university_michael_g_degroote_school_of_medicine_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_community_college_coursework.csv,168,McMaster University Michael G. DeGroote School of Medicine,ON,MD,,,0,0,review source match,2026-06-05,,
aamc_msar_community_college_coursework_csv_169_northern_ontario_school_of_medicine_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_community_college_coursework.csv,169,Northern Ontario School of Medicine,ON,MD,,,0,0,review source match,2026-06-05,,
aamc_msar_community_college_coursework_csv_170_queen_s_university_faculty_of_health_sciences_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_community_college_coursework.csv,170,Queen's University Faculty of Health Sciences,ON,MD,,,0,0,review source match,2026-06-05,,
aamc_msar_community_college_coursework_csv_171_the_university_of_western_ontario_schulich_school_of_medicine_dentistry_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_community_college_coursework.csv,171,The University of Western Ontario - Schulich School of Medicine & Dentistry,ON,MD,,,0,0,review source match,2026-06-05,,
aamc_msar_community_college_coursework_csv_173_university_of_ottawa_faculty_of_medicine_no_compatible_active_school,open,no_compatible_active_school,aamc_msar_community_college_coursework.csv,173,University of Ottawa Faculty of Medicine,ON,MD,,,0,0,review source match,2026-06-05,,
